,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
16,17,20200408,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=urn:federation:MicrosoftOnline&wctx=bk%3D1406747354%26LoginOptions%3D3,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
46,56,20200408,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=https%3a%2f%2fmy.brocku.ca%2fPortal%2f&wctx=rm%3d0%26id%3dpassive%26ru%3d%252fPortal%252f&wct=2020-04-08T12%3a51%3a39Z&wreply=https%3a%2f%2fmy.brocku.ca%2fPortal%2f,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
63,74,20200408,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=urn:federation:MicrosoftOnline&wctx=wa%3Dwsignin1%252E0%26rpsnv%3D3%26ver%3D6%252E1%252E6206%252E0%26wp%3DMBI%26wreply%3Dhttps%253A%252F%252Fbrocku.sharepoint.com%252F_forms%252Fdefault.aspx%253FReturnUrl%253D%25252f_layouts%25252f15%25252fAuthenticate.aspx%25253fSource%25253d%2525252F%2526Source%253Dcookie%250D%250A%26lc%3D1033%26id%3D500046%26bk%3D1407449681%26LoginOptions%3D3,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
2437,2483,20200417,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=urn:federation:MicrosoftOnline&wctx=bk%3D1406747354%26LoginOptions%3D3,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
2440,2486,20200417,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=https%3a%2f%2fmy.brocku.ca%2fPortal%2f&wctx=rm%3d0%26id%3dpassive%26ru%3d%252fPortal%252f&wct=2020-04-17T12%3a32%3a06Z&wreply=https%3a%2f%2fmy.brocku.ca%2fPortal%2f,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
2442,2489,20200417,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=https%3a%2f%2fmy.brocku.ca%2fBrockDB%2f&wctx=rm%3d0%26id%3dpassive%26ru%3d%252fBrockDB%252freg_Advising.aspx&wct=2020-04-17T12%3a32%3a09Z&wreply=https%3a%2f%2fmy.brocku.ca%2fBrockDB%2f,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
2443,2490,20200417,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=urn:federation:MicrosoftOnline&wctx=wa%3Dwsignin1%252E0%26rpsnv%3D3%26ver%3D6%252E1%252E6206%252E0%26wp%3DMBI%26wreply%3Dhttps%253A%252F%252Fbrocku.sharepoint.com%252F_forms%252Fdefault.aspx%253FReturnUrl%253D%25252f_layouts%25252f15%25252fAuthenticate.aspx%25253fSource%25253d%2525252F%2526Source%253Dcookie%250D%250A%26lc%3D1033%26id%3D500046%26bk%3D1407449681%26LoginOptions%3D3,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
9510,9802,20200424,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=urn:federation:MicrosoftOnline&wctx=bk%3D1406747354%26LoginOptions%3D3,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
9511,9803,20200424,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=https%3a%2f%2fmy.brocku.ca%2fPortal%2f&wctx=rm%3d0%26id%3dpassive%26ru%3d%252fPortal%252f&wct=2020-04-24T19%3a48%3a10Z&wreply=https%3a%2f%2fmy.brocku.ca%2fPortal%2f,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
9515,9808,20200424,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=https%3a%2f%2fmy.brocku.ca%2fBrockDB%2f&wctx=rm%3d0%26id%3dpassive%26ru%3d%252fBrockDB%252fpay_EmpDeductionCampaign.aspx&wct=2020-04-24T19%3a48%3a14Z&wreply=https%3a%2f%2fmy.brocku.ca%2fBrockDB%2f,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
9524,9823,20200424,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=urn:federation:MicrosoftOnline&wctx=wa%3Dwsignin1%252E0%26rpsnv%3D3%26ver%3D6%252E1%252E6206%252E0%26wp%3DMBI%26wreply%3Dhttps%253A%252F%252Fbrocku.sharepoint.com%252F_forms%252Fdefault.aspx%253FReturnUrl%253D%25252f_layouts%25252f15%25252fAuthenticate.aspx%25253fSource%25253d%2525252F%2526Source%253Dcookie%250D%250A%26lc%3D1033%26id%3D500046%26bk%3D1407449681%26LoginOptions%3D3,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
14251,15399,20200504,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=urn:federation:MicrosoftOnline&wctx=wa%3Dwsignin1%252E0%26rpsnv%3D3%26ver%3D6%252E1%252E6206%252E0%26wp%3DMBI%26wreply%3Dhttps%253A%252F%252Fbrocku.sharepoint.com%252F_forms%252Fdefault.aspx%253FReturnUrl%253D%25252f_layouts%25252f15%25252fAuthenticate.aspx%25253fSource%25253d%2525252F%2526Source%253Dcookie%250D%250A%26lc%3D1033%26id%3D500046%26bk%3D1407449681%26LoginOptions%3D3,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
14270,15425,20200504,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=urn:federation:MicrosoftOnline&wctx=bk%3D1406747354%26LoginOptions%3D3,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
14288,15446,20200504,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=https%3a%2f%2fmy.brocku.ca%2fPortal%2f&wctx=rm%3d0%26id%3dpassive%26ru%3d%252fPortal%252f&wct=2020-05-04T13%3a19%3a20Z&wreply=https%3a%2f%2fmy.brocku.ca%2fPortal%2f,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
18358,20391,20200515,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=urn:federation:MicrosoftOnline&wctx=bk%3D1406747354%26LoginOptions%3D3,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
18359,20392,20200515,adfs.brocku.ca,https://adfs.brocku.ca/adfs/ls/?wa=wsignin1.0&wtrealm=https%3a%2f%2fmy.brocku.ca%2fPortal%2f&wctx=rm%3d0%26id%3dpassive%26ru%3d%252fPortal%252f&wct=2020-05-15T18%3a50%3a55Z&wreply=https%3a%2f%2fmy.brocku.ca%2fPortal%2f,text/html,text/html,en,"Sign In JavaScript required JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Sign in with your organizational account User Account Password Keep me signed in Sign in To change your password click here To activate a new account, or if you forgot your password, go to the Account Activation and Reset Password page. To review collection notices, go to the Collection Notice page. © 2016 MicrosoftHomePrivacyHelp",0.13636363636363635,0.45454545454545453,Positive,Objective
