,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
144076,169286,20200807,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
144081,169291,20200807,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/incompatibleBrowser,text/html,text/html,en,"Unsupported Browser You are using an unsupported browser We couldn't load this survey because you're using an unsupported web browser. Outdated web browsers do not work with some website features. More importantly, they can expose your computer to security risks. To ensure an optimal and secure experience, please update to one of the latest browser versions. Google Chrome Mozilla Firefox Apple Safari Microsoft Edge",0.27999999999999997,0.7266666666666667,Positive,Subjective
153250,180169,20200814,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
162710,191328,20200822,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
173819,204092,20200828,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
184314,216034,20200904,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
195196,228379,20200912,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
195204,228387,20200912,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/incompatibleBrowser,text/html,text/html,en,"Unsupported Browser You are using an unsupported browser We couldn't load this survey because you're using an unsupported web browser. Outdated web browsers do not work with some website features. More importantly, they can expose your computer to security risks. To ensure an optimal and secure experience, please update to one of the latest browser versions. Google Chrome Mozilla Firefox Apple Safari Microsoft Edge",0.27999999999999997,0.7266666666666667,Positive,Subjective
206310,241043,20200918,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
215783,252019,20200925,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_9SIbTLuThw1f9ad,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
227509,264582,20201003,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_9SIbTLuThw1f9ad,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
237761,276330,20201009,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_9SIbTLuThw1f9ad,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
248222,288445,20201016,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_9SIbTLuThw1f9ad,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
258578,300443,20201024,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_9SIbTLuThw1f9ad,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.,0.0,0.0,Neutral,Objective
