,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
539298,626992,20210528,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.517.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
548486,637838,20210604,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.531.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
557608,648441,20210611,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.565.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
565666,658206,20210618,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.633.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
569921,664126,20210625,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.642.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
569922,664129,20210625,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/my-account-ooi/1.122.0/MyAccount,text/html,text/html,en,MyAccount Editor App,0.0,0.0,Neutral,Objective
573981,669938,20210702,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.656.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
573990,669952,20210702,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/my-account-ooi/1.141.0/MyAccount,text/html,text/html,en,MyAccount Editor App,0.0,0.0,Neutral,Objective
578313,675910,20210709,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.681.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
578316,675914,20210709,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/my-account-ooi/1.155.0/MyAccount,text/html,text/html,en,MyAccount Editor App,0.0,0.0,Neutral,Objective
582577,681885,20210716,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.692.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
582580,681889,20210716,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/my-account-ooi/1.163.0/MyAccount,text/html,text/html,en,MyAccount Editor App,0.0,0.0,Neutral,Objective
586785,687846,20210723,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-service-details-widget/1.1541.0/BookingServicePage,text/html,text/html,en,BookingServicePage Editor App,0.0,0.0,Neutral,Objective
586787,687849,20210723,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/my-account-ooi/1.168.0/MyAccount,text/html,text/html,en,MyAccount Editor App,0.0,0.0,Neutral,Objective
590574,693489,20210730,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-service-details-widget/1.1554.0/BookingServicePage,text/html,text/html,en,BookingServicePage Editor App,0.0,0.0,Neutral,Objective
590590,693508,20210730,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.718.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
594801,699404,20210806,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/my-account-ooi/1.179.0/MyAccount,text/html,text/html,en,MyAccount Editor App,0.0,0.0,Neutral,Objective
603450,711760,20210820,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-service-details-widget/1.1599.0/BookingServicePage,text/html,text/html,en,BookingServicePage Editor App,0.0,0.0,Neutral,Objective
603452,711763,20210820,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.774.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
608415,718531,20210827,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-service-details-widget/1.1621.0/BookingServicePage,text/html,text/html,en,BookingServicePage Editor App,0.0,0.0,Neutral,Objective
608418,718534,20210827,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/bookings-calendar-widget/1.794.0/BookingCalendar,text/html,text/html,af,BookingCalendar Editor App,0.0,0.0,Neutral,Objective
608420,718536,20210827,editor.wixapps.net,https://editor.wixapps.net/render/prod/editor/my-account-ooi/1.208.0/MyAccount,text/html,text/html,en,MyAccount Editor App,0.0,0.0,Neutral,Objective
