,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
22693,25934,20200707,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
22746,26028,20200707,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
22812,26129,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
22904,26247,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
22928,26283,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
22937,26297,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
22990,26377,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23004,26426,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23015,26443,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23035,26477,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23057,26511,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23073,26538,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23120,26613,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23131,26630,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23145,26650,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23173,26696,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23186,26717,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23205,26747,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23214,26763,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23248,26812,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23259,26829,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23280,26864,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23292,26881,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23343,26971,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23370,27015,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23382,27035,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23413,27083,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23422,27098,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23434,27116,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23447,27135,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23467,27166,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23478,27183,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23486,27197,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23497,27214,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23515,27242,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
23526,27259,20200804,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=smartadserver&endpoint=us-east,text/html,text/html,cy,User-Sync,0.0,0.0,Neutral,Objective
