,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
21919,24698,20200706,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed,text/html,text/html,en,COVID-19 in Niagara-Curve,0.0,0.0,Neutral,Objective
22458,25553,20200706,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed,text/html,text/html,en,COVID-19 Niagara: New cases per day,0.13636363636363635,0.45454545454545453,Positive,Objective
22459,25555,20200706,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed,text/html,text/html,en,COVID-19 in Niagara-Curve,0.0,0.0,Neutral,Objective
22647,25857,20200707,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve,0.0,0.0,Neutral,Objective
23188,26721,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed,text/html,text/html,en,COVID-19 Niagara: New cases per day,0.13636363636363635,0.45454545454545453,Positive,Objective
23189,26723,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve,0.0,0.0,Neutral,Objective
23262,26836,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve,0.0,0.0,Neutral,Objective
23263,26837,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day,0.13636363636363635,0.45454545454545453,Positive,Objective
23371,27017,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1856956/embed?auto=1,text/html,text/html,en,COVID-19 cases by age,0.0,0.0,Neutral,Objective
23373,27019,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve,0.0,0.0,Neutral,Objective
23374,27022,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1920229/embed?auto=1,text/html,text/html,en,COVID19 distribution,0.0,0.0,Neutral,Objective
