,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
2339,2384,20200408,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Adobe Stock adobe-fonts-logo--white Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy and Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
5313,5407,20200417,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Adobe Stock adobe-fonts-logo--white Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy and Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
11976,12355,20200424,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Adobe Stock adobe-fonts-logo--white Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy and Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
16533,17912,20200504,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Adobe Stock adobe-fonts-logo--white Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy and Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
19022,21124,20200515,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Adobe Stock adobe-fonts-logo--white Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy and Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
46510,57698,20200529,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Adobe Stock adobe-fonts-logo--white Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy and Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
48526,60033,20200522,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Adobe Stock adobe-fonts-logo--white Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy and Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
56772,70007,20200529,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Adobe Stock adobe-fonts-logo--white Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy and Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
63260,78097,20200605,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts Adobe Stock adobe-fonts-logo--white Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy and Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
72713,88763,20200612,fonts.adobe.com,https://fonts.adobe.com/,text/html,text/html,en,"Adobe Fonts | Explore unlimited fonts     {{message.actionLabel}} Browse Fonts Font Packs Typekit Web Fonts adobe-fonts-logo--white Creative Cloud Sign in Upload a photo to scan for similar type Scanning file — please wait My Adobe Fonts Quality fonts at your fingertips Unlimited fonts. Choose as many as you need from 1,000s of options. No extra charges. All fonts are included with your Creative Cloud subscription. Already licensed. Everything here is cleared for personal and commercial use. Learn More Get Started Get on the right track with font packs Fonts that work together naturally, whether with a project-themed focus or just for inspiration. Explore Font Packs How it works Our complete library of fonts is included with any Creative Cloud subscription. Browse Fonts In-app or in your web browser, find the fonts you need from thousands of options. Activate Fonts Use the toggle when you want to begin using a font (or a group of fonts). Use Fonts Sign in to Creative Cloud, and your active fonts will all appear in your font menus, ready to use. Learn More Lose yourself in letters Did we mention there are thousands of fonts? Search by name if you know what you want, or use our filters to sort by specific characteristics. Browse Fonts Meet the people who make fonts People who make fonts are some of the most creative, dedicated, and passionate designers we know, and we’re proud to work with them. Get to know our foundry partners and we think you’ll agree. See Foundries TypeTogether Adobe Originals Sudtipos Emigre Radically simplified web fonts Bring your website to life with beautiful fonts, powered by the trusted Typekit web font hosting service. Get Started {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} {{message.actionLabel}} Browse Fonts Font Packs Foundries Designers Support Help Status Blog Twitter About Adobe Fonts Typekit Web Fonts Blog ADOBE Photography Design Illustration Video Terms of Use Privacy Policy and Cookies Language: English Deutsch Français 日本語 © 2020 Adobe. All rights reserved.",0.28923395445134575,0.5743788819875776,Positive,Subjective
