,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
311,325,20200408,google.ca,"https://www.google.ca/maps/dir//Brock+University,+1812+Sir+Isaac+Brock+Way,+St.+Catharines,+ON+L2S+3A1/@43.117577,-79.2498812,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d34e32f9f0e4a5:0xdb7b89e6cdaba7d2!2m2!1d-79.2476925!2d43.1175731?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
312,326,20200408,google.ca,"https://www.google.ca/maps/dir//Marilyn+I.+Walker+School+of+Fine+and+Performing+Arts,+15+Artists'+Common,+St.+Catharines,+ON+L2R+4H5/@43.1577335,-79.2447121,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d3504d0dda0165:0x9eaf77bbd741fdf9!2m2!1d-79.2425234!2d43.1577335?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
313,327,20200408,google.ca,"https://www.google.ca/maps/dir//Brock+University,+1842+King+St+E,+Hamilton,+ON+L8K+1V7/@43.2311846,-79.8117232,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x882c996d13522895:0x43296797cc6b3e7c!2m2!1d-79.8095345!2d43.2311807?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
314,328,20200408,google.ca,"https://www.google.ca/maps/dir//Rodman+Hall+Art+Centre,+Brock+University,+109+St+Paul+Crescent,+St.+Catharines,+ON+L2S+1M3/@43.149922,-79.2480835,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d351ca830f02bf:0xdf827fc7972d289e!2m2!1d-79.2458948!2d43.1499181?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
2508,2567,20200417,google.ca,"https://www.google.ca/maps/dir//Brock+University,+1812+Sir+Isaac+Brock+Way,+St.+Catharines,+ON+L2S+3A1/@43.117577,-79.2498812,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d34e32f9f0e4a5:0xdb7b89e6cdaba7d2!2m2!1d-79.2476925!2d43.1175731?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
2510,2569,20200417,google.ca,"https://www.google.ca/maps/dir//Marilyn+I.+Walker+School+of+Fine+and+Performing+Arts,+15+Artists'+Common,+St.+Catharines,+ON+L2R+4H5/@43.1577335,-79.2447121,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d3504d0dda0165:0x9eaf77bbd741fdf9!2m2!1d-79.2425234!2d43.1577335?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
2513,2572,20200417,google.ca,"https://www.google.ca/maps/dir//Brock+University,+1842+King+St+E,+Hamilton,+ON+L8K+1V7/@43.2311846,-79.8117232,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x882c996d13522895:0x43296797cc6b3e7c!2m2!1d-79.8095345!2d43.2311807?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
2516,2575,20200417,google.ca,"https://www.google.ca/maps/dir//Rodman+Hall+Art+Centre,+Brock+University,+109+St+Paul+Crescent,+St.+Catharines,+ON+L2S+1M3/@43.149922,-79.2480835,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d351ca830f02bf:0xdf827fc7972d289e!2m2!1d-79.2458948!2d43.1499181?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
12611,13074,20200424,google.ca,https://www.google.ca/maps,text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
16204,17548,20200504,google.ca,https://www.google.ca/maps,text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
18433,20480,20200516,google.ca,"https://www.google.ca/maps/dir//Brock+University,+1812+Sir+Isaac+Brock+Way,+St.+Catharines,+ON+L2S+3A1/@43.117577,-79.2498812,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d34e32f9f0e4a5:0xdb7b89e6cdaba7d2!2m2!1d-79.2476925!2d43.1175731?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
18434,20481,20200516,google.ca,"https://www.google.ca/maps/dir//Marilyn+I.+Walker+School+of+Fine+and+Performing+Arts,+15+Artists'+Common,+St.+Catharines,+ON+L2R+4H5/@43.1577335,-79.2447121,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d3504d0dda0165:0x9eaf77bbd741fdf9!2m2!1d-79.2425234!2d43.1577335?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
18436,20483,20200516,google.ca,"https://www.google.ca/maps/dir//Brock+University,+1842+King+St+E,+Hamilton,+ON+L8K+1V7/@43.2311846,-79.8117232,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x882c996d13522895:0x43296797cc6b3e7c!2m2!1d-79.8095345!2d43.2311807?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
18437,20484,20200516,google.ca,"https://www.google.ca/maps/dir//Rodman+Hall+Art+Centre,+Brock+University,+109+St+Paul+Crescent,+St.+Catharines,+ON+L2S+1M3/@43.149922,-79.2480835,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d351ca830f02bf:0xdf827fc7972d289e!2m2!1d-79.2458948!2d43.1499181?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
19345,21502,20200516,google.ca,https://www.google.ca/maps,text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
20856,23372,20200515,google.ca,http://www.google.ca/,text/html,text/html,en,Google Search Images Maps Play YouTube News Gmail Drive More Calendar Translate Mobile Books Shopping Blogger Finance Photos Videos Docs Even more » Account Options Sign in Search settings Web History Advanced search Helpful tips to avoid COVID-19 online scams Advertising ProgramsBusiness SolutionsAbout GoogleGoogle.com © 2020 - Privacy - Terms,0.4666666666666666,0.5333333333333333,Positive,Subjective
38041,49002,20200522,google.ca,"https://www.google.ca/maps/dir//Brock+University,+1812+Sir+Isaac+Brock+Way,+St.+Catharines,+ON+L2S+3A1/@43.117577,-79.2498812,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d34e32f9f0e4a5:0xdb7b89e6cdaba7d2!2m2!1d-79.2476925!2d43.1175731?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
38042,49003,20200522,google.ca,"https://www.google.ca/maps/dir//Marilyn+I.+Walker+School+of+Fine+and+Performing+Arts,+15+Artists'+Common,+St.+Catharines,+ON+L2R+4H5/@43.1577335,-79.2447121,17z/data=!4m8!4m7!1m0!1m5!1m1!1s0x89d3504d0dda0165:0x9eaf77bbd741fdf9!2m2!1d-79.2425234!2d43.1577335?shorturl=1",text/html,text/html,en,"Google Maps  When you have eliminated the JavaScript, whatever remains must be an empty page. Enable JavaScript to see Google Maps.",-0.1,0.5,Negative,Neutral
