,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
42,45,20200408,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-TB8GZJ,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
2159,2180,20200408,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-P94DDZN,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
4939,5016,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PH9Z8JQ,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
5364,5460,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-5G4CS4L,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
5379,5477,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-5DX4N5F,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
6181,6299,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-T7V5LF,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
6319,6442,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-5W5JZGJ,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
6326,6449,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-TQZJQ6C,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
6744,6878,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PZ6TRJB,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
6757,6891,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PKHP75S,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
6769,6904,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-KJJZHXD,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
7931,8084,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PRHTN43,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
7951,8105,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-NVV45D,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
8312,8471,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-N3XKXS,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
8496,8670,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PCTLNL2,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
8500,8675,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-5MH8W55,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
8509,8687,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-MT9FJXS,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
8516,8694,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-WC5J8S,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
8854,9091,20200417,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-MZ55VP3,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
11993,12376,20200424,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-5DX4N5F,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
13560,14211,20200424,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-5MH8W55,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
13572,14233,20200424,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-WC5J8S,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
15265,16516,20200504,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-5DX4N5F,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
16732,18138,20200504,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PZ6TRJB,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
17649,19163,20200504,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-WC5J8S,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
17952,19543,20200504,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-MPHTW35,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
19025,21130,20200515,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-5DX4N5F,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
19841,22057,20200516,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PZ6TRJB,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
20281,22609,20200515,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-WC5J8S,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
20378,22727,20200515,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-T7V5LF,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
21737,24460,20200706,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PKHP75S&gtm_auth=AtKQdCLVfL96Pfdsky1mFA&gtm_preview=env-2&gtm_cookies_win=x,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
22795,26098,20200804,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PKHP75S&gtm_auth=AtKQdCLVfL96Pfdsky1mFA&gtm_preview=env-2&gtm_cookies_win=x,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
23875,27808,20200904,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PKHP75S&gtm_auth=AtKQdCLVfL96Pfdsky1mFA&gtm_preview=env-2&gtm_cookies_win=x,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
24984,29411,20201005,googletagmanager.com,https://www.googletagmanager.com/ns.html?id=GTM-PKHP75S&gtm_auth=AtKQdCLVfL96Pfdsky1mFA&gtm_preview=env-2&gtm_cookies_win=x,text/html,text/html,fr,ns,0.0,0.0,Neutral,Objective
