,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
8584,8772,20200417,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
8808,9043,20200417,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
13623,14292,20200424,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
13844,14571,20200424,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
17690,19216,20200504,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest Pulling up ideas just for you Oh no! Pinterest doesn't work unless you turn on JavaScript.,0.0,0.06666666666666667,Neutral,Objective
17890,19473,20200504,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
20343,22692,20200515,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
20510,22912,20200515,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
52636,64539,20200522,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
52834,64798,20200529,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
53061,65086,20200522,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
53322,65376,20200529,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
59208,73252,20200529,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
59358,73471,20200529,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
