,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
8559,8744,20200417,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
8782,9017,20200417,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
13621,14290,20200424,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
13846,14573,20200424,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
17693,19219,20200504,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest Here come more ideas! Oh no! Pinterest doesn't work unless you turn on JavaScript.,0.390625,0.2833333333333333,Positive,Objective
17888,19471,20200504,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
20345,22694,20200515,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
20513,22915,20200515,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
52634,64537,20200522,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
52836,64800,20200529,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
53064,65089,20200522,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
53323,65377,20200529,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
59209,73253,20200529,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
59359,73472,20200529,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
67572,82911,20200605,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
76714,93200,20200612,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest,0.0,0.06666666666666667,Neutral,Objective
134023,157470,20200724,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
143632,168527,20200731,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
162216,190502,20200814,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
173381,203332,20200821,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
205857,240268,20200911,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
237310,275536,20201002,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
247752,287637,20201009,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
287965,334285,20201106,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
307150,356630,20201120,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
335946,389098,20201211,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
390586,454605,20210129,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
399076,464735,20210205,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
417212,485124,20210219,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
426727,495403,20210226,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
436088,505748,20210305,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
453934,525966,20210319,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
461267,534958,20210326,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország,0.0,0.0,Neutral,Objective
