,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
4919,4995,20200417,icompasstech.com,https://www.icompasstech.com/,text/html,text/html,en,"Home - iCompass - Local government software solution Skip to primary navigation Skip to main content Councilviews LeadOn Blog Contact Us Search this website iCompass Solutions Meeting Manager Meeting Manager Pro Board Manager Video Manager HD Resources COVID-19 Resources Pricing Company Contact Us Get Started Local Government Software Solution Meeting and Agenda Management Built to Drive Good Governance with a Modern Approach See what it means Buyer’s Guide Happy Customers Smart, easy software solution designed for local governments of any size. It’s that simple. iCompass' agenda and meeting management software helps people in local government with limited resources and time excel at serving citizens. Known and trusted as the local government experts, iCompass is an agent for intelligent innovation. SEE WHAT IT MEANS FOR CLERKS FOR CITY MANAGERS What can you do with iCompass meeting & agenda management solutions? Eliminate manual tasks Save time and costs by removing the need for paper-based processes and patched-together solutions Be more transparent Improve public access to meetings, agendas, minutes and records Empower your team Give your team the tools to enable them to turn their focus towards key community issues Have information at your fingertips Centralize information to access up-to-date agendas, minutes, records and meeting recordings in real time Engage more citizens Provide a consistent, reliable user experience for citizens across all modern devices Reduce operating costs Maximize efficiency and demonstrate a measurable return on investment with simplified processes Turn change into opportunity Get access to simple yet advanced new technologies geared to local governments and transform your operations in a changing digital landscape Make better decisions Get more visibility and insights from the public and staff to promote a culture of intelligent innovation Bring everyone together Get everyone on the same page by creating order out of chaos to make work life and city operations run more smoothly See our solutions Running a local government is complex. We’re here to make it simpler, easier and more organized. At iCompass we believe that finding the right solution, setting it up and using it to improve your workplace shouldn’t be so much work. Our friendly customer success team is one of the best in the industry with expert, in-person service 24 hours a day, 7 days a week, 365 days a year. No matter where you are or what you need our help with, we’re here. PROUD TO BE PEOPLE PLEASERS WHAT CUSTOMERS SAY iCompass solutions are all-encompassing, to make our lives easier, simpler and faster. Joe Bridgeman, Deputy Clerk, Huron Charter Township, Michigan Moving to iCompass is the greatest thing we've done. It has saved us time and money and everyone here has been loving it! Melody Shuler, Town Clerk, Town of Waxhaw, North Carolina iCompass is knowledgeable, they understand local government, they know what we do, they feel our same pains, and they make The City of Issaquah more successful. Tina Eggers, City Clerk, City of Issaquah, Washington ""It's about more than just getting rid of the paper. iCompass lets you do more, more than you even imagined you could."" Rebecca Murphy, Director of Legal Services/Clerk, Town of Bradford West Gwillimbury, Ontario One of the biggest benefits of iCompass is the quality of their software programs and how they all seamlessly connect, whether you're using several modules or their entire suite of products. Rena Schill, Corporate Services/Records Management Coordinator, City of Williams Lake, British Columbia iCompass' meeting and record management solutions have enabled our organization to achieve efficiencies in searching for documents, preparing agendas and minutes for Council meetings and tracking our action items arising from Council meetings. Carrie Dyrek, Town Clerk, Town of Cave Creek, Arizona We are very pleased with the attention and support we receive from the team at iCompass. Our issues and questions are resolved promptly so as not to disrupt the City's daily activities. Sara Ridout, City Clerk, City of Aiken, South Carolina We would enthusiastically recommend that any municipality looking to enter the realm of electronic agenda management take a long hard look at iCompass: it is one of the most attractive agenda software packages on the market. William Kolasa, Director of Corporate Services, Town of Lincoln, Ontario We've been able to accomplish our goal of paperless meetings in a very smooth, easy manner. iCompass customer support is exceptional. They are very knowledgeable and handled every question very quickly. Roben Haggart, Clerk, Town of Minocqua, Wisconsin WANT TO IMPROVE YOUR TEAM’S EFFICIENCY? WE CAN HELP. SEE OUR CUSTOMER STORIES What’s LeadOn? A community of people like you LeadOn is a fast-growing peer-to-peer network for more than 3,000 local government leaders that’s all about getting industry updates, sharing information, networking online and discovering new and better ways to improve your day-to-day work life. It’s for government employees: who drive every day to provide outstanding services and make things happen. It’s for local government leaders: who drive government to be better every year, to get more out of less, to improve the quality and quantity of information, and maximize the value from each critical team member. And to a limited extent, it’s for a few dedicated members of our team: who answer questions and help make connections. Team members who have the backs of our customers, who, in many cases, are our friends. IT’S ALL ABOUT THE PEOPLE AND CONVERSATIONS THAT MATTER CONNECT WITH OVER 3,000 OTHER LEADERS! The latest from our blog and learning center The Risks of Free Agenda Management Software A well-established marketing tactic is to give something away for free so that potential customers have a chance to try.... READ MORE > Why is Transparency Critical in Local Government? Local citizens do their best to vet their political candidates to ensure they get public officials into office that are.... READ MORE > How Clerks Can Apply Agenda Management for Lighter Workloads The clerk’s desk contains a highway of important paperwork. Not too many documents circulate around a municipal government office without.... READ MORE > Go to top Happy Customers Benefits Customer stories LeadOn Weekly Blog Book a meeting What challenge can we help you with today? We’re here to helpRequest a Demo See it live 1 Minute Intro Demo Videos Sitemap Privacy Do Not Sell My Personal Information ©2020 Diligent Corporation | website by brand collective",0.2785847525116393,0.42920750633014776,Positive,Objective
4923,4999,20200417,icompasstech.com,https://www.icompasstech.com/?s={search_term_string},text/html,text/html,en,"You searched for {search_term_string} - iCompass Skip to primary navigation Skip to main content Councilviews LeadOn Blog Contact Us Search this website iCompass Solutions Meeting Manager Meeting Manager Pro Board Manager Video Manager HD Resources COVID-19 Resources Pricing Company Contact Us Get Started Search Results Home > Search for ""{search_term_string}"" Your search results for: {search_term_string} Sorry, no content matched your criteria. What challenge can we help you with today? We’re here to helpRequest a Demo Sitemap Privacy Do Not Sell My Personal Information ©2020 Diligent Corporation | website by brand collective",-0.13666666666666666,0.6266666666666666,Negative,Subjective
4932,5009,20200417,icompasstech.com,https://www.icompasstech.com/?s={s},text/html,text/html,en,"You searched for {s} - iCompass Skip to primary navigation Skip to main content Councilviews LeadOn Blog Contact Us Search this website iCompass Solutions Meeting Manager Meeting Manager Pro Board Manager Video Manager HD Resources COVID-19 Resources Pricing Company Contact Us Get Started Search Results Home > Search for ""{s}"" Your search results for: {s} Sorry, no content matched your criteria. What challenge can we help you with today? We’re here to helpRequest a Demo Sitemap Privacy Do Not Sell My Personal Information ©2020 Diligent Corporation | website by brand collective",-0.13666666666666666,0.6266666666666666,Negative,Subjective
11575,11898,20200424,icompasstech.com,https://www.icompasstech.com/,text/html,text/html,en,"Home - iCompass - Local government software solution Skip to primary navigation Skip to main content Councilviews LeadOn Blog Contact Us Search this website iCompass Solutions Meeting Manager Meeting Manager Pro Board Manager Video Manager HD Resources COVID-19 Resources Pricing Company Contact Us Get Started Local Government Software Solution Meeting and Agenda Management Built to Drive Good Governance with a Modern Approach See what it means Buyer’s Guide Happy Customers Smart, easy software solution designed for local governments of any size. It’s that simple. iCompass' agenda and meeting management software helps people in local government with limited resources and time excel at serving citizens. Known and trusted as the local government experts, iCompass is an agent for intelligent innovation. SEE WHAT IT MEANS FOR CLERKS FOR CITY MANAGERS What can you do with iCompass meeting & agenda management solutions? Eliminate manual tasks Save time and costs by removing the need for paper-based processes and patched-together solutions Be more transparent Improve public access to meetings, agendas, minutes and records Empower your team Give your team the tools to enable them to turn their focus towards key community issues Have information at your fingertips Centralize information to access up-to-date agendas, minutes, records and meeting recordings in real time Engage more citizens Provide a consistent, reliable user experience for citizens across all modern devices Reduce operating costs Maximize efficiency and demonstrate a measurable return on investment with simplified processes Turn change into opportunity Get access to simple yet advanced new technologies geared to local governments and transform your operations in a changing digital landscape Make better decisions Get more visibility and insights from the public and staff to promote a culture of intelligent innovation Bring everyone together Get everyone on the same page by creating order out of chaos to make work life and city operations run more smoothly See our solutions Running a local government is complex. We’re here to make it simpler, easier and more organized. At iCompass we believe that finding the right solution, setting it up and using it to improve your workplace shouldn’t be so much work. Our friendly customer success team is one of the best in the industry with expert, in-person service 24 hours a day, 7 days a week, 365 days a year. No matter where you are or what you need our help with, we’re here. PROUD TO BE PEOPLE PLEASERS WHAT CUSTOMERS SAY iCompass solutions are all-encompassing, to make our lives easier, simpler and faster. Joe Bridgeman, Deputy Clerk, Huron Charter Township, Michigan Moving to iCompass is the greatest thing we've done. It has saved us time and money and everyone here has been loving it! Melody Shuler, Town Clerk, Town of Waxhaw, North Carolina iCompass is knowledgeable, they understand local government, they know what we do, they feel our same pains, and they make The City of Issaquah more successful. Tina Eggers, City Clerk, City of Issaquah, Washington ""It's about more than just getting rid of the paper. iCompass lets you do more, more than you even imagined you could."" Rebecca Murphy, Director of Legal Services/Clerk, Town of Bradford West Gwillimbury, Ontario One of the biggest benefits of iCompass is the quality of their software programs and how they all seamlessly connect, whether you're using several modules or their entire suite of products. Rena Schill, Corporate Services/Records Management Coordinator, City of Williams Lake, British Columbia iCompass' meeting and record management solutions have enabled our organization to achieve efficiencies in searching for documents, preparing agendas and minutes for Council meetings and tracking our action items arising from Council meetings. Carrie Dyrek, Town Clerk, Town of Cave Creek, Arizona We are very pleased with the attention and support we receive from the team at iCompass. Our issues and questions are resolved promptly so as not to disrupt the City's daily activities. Sara Ridout, City Clerk, City of Aiken, South Carolina We would enthusiastically recommend that any municipality looking to enter the realm of electronic agenda management take a long hard look at iCompass: it is one of the most attractive agenda software packages on the market. William Kolasa, Director of Corporate Services, Town of Lincoln, Ontario We've been able to accomplish our goal of paperless meetings in a very smooth, easy manner. iCompass customer support is exceptional. They are very knowledgeable and handled every question very quickly. Roben Haggart, Clerk, Town of Minocqua, Wisconsin WANT TO IMPROVE YOUR TEAM’S EFFICIENCY? WE CAN HELP. SEE OUR CUSTOMER STORIES What’s LeadOn? A community of people like you LeadOn is a fast-growing peer-to-peer network for more than 3,000 local government leaders that’s all about getting industry updates, sharing information, networking online and discovering new and better ways to improve your day-to-day work life. It’s for government employees: who drive every day to provide outstanding services and make things happen. It’s for local government leaders: who drive government to be better every year, to get more out of less, to improve the quality and quantity of information, and maximize the value from each critical team member. And to a limited extent, it’s for a few dedicated members of our team: who answer questions and help make connections. Team members who have the backs of our customers, who, in many cases, are our friends. IT’S ALL ABOUT THE PEOPLE AND CONVERSATIONS THAT MATTER CONNECT WITH OVER 3,000 OTHER LEADERS! The latest from our blog and learning center The Risks of Free Agenda Management Software A well-established marketing tactic is to give something away for free so that potential customers have a chance to try.... READ MORE > Why is Transparency Critical in Local Government? Local citizens do their best to vet their political candidates to ensure they get public officials into office that are.... READ MORE > How Clerks Can Apply Agenda Management for Lighter Workloads The clerk’s desk contains a highway of important paperwork. Not too many documents circulate around a municipal government office without.... READ MORE > Go to top Happy Customers Benefits Customer stories LeadOn Weekly Blog Book a meeting What challenge can we help you with today? We’re here to helpRequest a Demo See it live 1 Minute Intro Demo Videos Sitemap Privacy Do Not Sell My Personal Information ©2020 Diligent Corporation | website by brand collective",0.2785847525116393,0.42920750633014776,Positive,Objective
11608,11935,20200424,icompasstech.com,https://www.icompasstech.com/?s={search_term_string},text/html,text/html,en,"You searched for {search_term_string} - iCompass Skip to primary navigation Skip to main content Councilviews LeadOn Blog Contact Us Search this website iCompass Solutions Meeting Manager Meeting Manager Pro Board Manager Video Manager HD Resources COVID-19 Resources Pricing Company Contact Us Get Started Search Results Home > Search for ""{search_term_string}"" Your search results for: {search_term_string} Sorry, no content matched your criteria. What challenge can we help you with today? We’re here to helpRequest a Demo Sitemap Privacy Do Not Sell My Personal Information ©2020 Diligent Corporation | website by brand collective",-0.13666666666666666,0.6266666666666666,Negative,Subjective
11616,11947,20200424,icompasstech.com,https://www.icompasstech.com/?s={s},text/html,text/html,en,"You searched for {s} - iCompass Skip to primary navigation Skip to main content Councilviews LeadOn Blog Contact Us Search this website iCompass Solutions Meeting Manager Meeting Manager Pro Board Manager Video Manager HD Resources COVID-19 Resources Pricing Company Contact Us Get Started Search Results Home > Search for ""{s}"" Your search results for: {s} Sorry, no content matched your criteria. What challenge can we help you with today? We’re here to helpRequest a Demo Sitemap Privacy Do Not Sell My Personal Information ©2020 Diligent Corporation | website by brand collective",-0.13666666666666666,0.6266666666666666,Negative,Subjective
14871,16070,20200504,icompasstech.com,https://www.icompasstech.com/,text/html,text/html,en,"Home - iCompass - Local government software solution Skip to primary navigation Skip to main content Councilviews LeadOn Blog Contact Us Search this website iCompass Solutions Meeting Manager Meeting Manager Pro Board Manager Video Manager HD Resources COVID-19 Resources Pricing Company Contact Us Get Started Local Government Software Solution Meeting and Agenda Management Built to Drive Good Governance with a Modern Approach See what it means Buyer’s Guide Happy Customers Smart, easy software solution designed for local governments of any size. It’s that simple. iCompass' agenda and meeting management software helps people in local government with limited resources and time excel at serving citizens. Known and trusted as the local government experts, iCompass is an agent for intelligent innovation. SEE WHAT IT MEANS FOR CLERKS FOR CITY MANAGERS What can you do with iCompass meeting & agenda management solutions? Eliminate manual tasks Save time and costs by removing the need for paper-based processes and patched-together solutions Be more transparent Improve public access to meetings, agendas, minutes and records Empower your team Give your team the tools to enable them to turn their focus towards key community issues Have information at your fingertips Centralize information to access up-to-date agendas, minutes, records and meeting recordings in real time Engage more citizens Provide a consistent, reliable user experience for citizens across all modern devices Reduce operating costs Maximize efficiency and demonstrate a measurable return on investment with simplified processes Turn change into opportunity Get access to simple yet advanced new technologies geared to local governments and transform your operations in a changing digital landscape Make better decisions Get more visibility and insights from the public and staff to promote a culture of intelligent innovation Bring everyone together Get everyone on the same page by creating order out of chaos to make work life and city operations run more smoothly See our solutions Running a local government is complex. We’re here to make it simpler, easier and more organized. At iCompass we believe that finding the right solution, setting it up and using it to improve your workplace shouldn’t be so much work. Our friendly customer success team is one of the best in the industry with expert, in-person service 24 hours a day, 7 days a week, 365 days a year. No matter where you are or what you need our help with, we’re here. PROUD TO BE PEOPLE PLEASERS WHAT CUSTOMERS SAY iCompass solutions are all-encompassing, to make our lives easier, simpler and faster. Joe Bridgeman, Deputy Clerk, Huron Charter Township, Michigan Moving to iCompass is the greatest thing we've done. It has saved us time and money and everyone here has been loving it! Melody Shuler, Town Clerk, Town of Waxhaw, North Carolina iCompass is knowledgeable, they understand local government, they know what we do, they feel our same pains, and they make The City of Issaquah more successful. Tina Eggers, City Clerk, City of Issaquah, Washington ""It's about more than just getting rid of the paper. iCompass lets you do more, more than you even imagined you could."" Rebecca Murphy, Director of Legal Services/Clerk, Town of Bradford West Gwillimbury, Ontario One of the biggest benefits of iCompass is the quality of their software programs and how they all seamlessly connect, whether you're using several modules or their entire suite of products. Rena Schill, Corporate Services/Records Management Coordinator, City of Williams Lake, British Columbia iCompass' meeting and record management solutions have enabled our organization to achieve efficiencies in searching for documents, preparing agendas and minutes for Council meetings and tracking our action items arising from Council meetings. Carrie Dyrek, Town Clerk, Town of Cave Creek, Arizona We are very pleased with the attention and support we receive from the team at iCompass. Our issues and questions are resolved promptly so as not to disrupt the City's daily activities. Sara Ridout, City Clerk, City of Aiken, South Carolina We would enthusiastically recommend that any municipality looking to enter the realm of electronic agenda management take a long hard look at iCompass: it is one of the most attractive agenda software packages on the market. William Kolasa, Director of Corporate Services, Town of Lincoln, Ontario We've been able to accomplish our goal of paperless meetings in a very smooth, easy manner. iCompass customer support is exceptional. They are very knowledgeable and handled every question very quickly. Roben Haggart, Clerk, Town of Minocqua, Wisconsin WANT TO IMPROVE YOUR TEAM’S EFFICIENCY? WE CAN HELP. SEE OUR CUSTOMER STORIES What’s LeadOn? A community of people like you LeadOn is a fast-growing peer-to-peer network for more than 3,000 local government leaders that’s all about getting industry updates, sharing information, networking online and discovering new and better ways to improve your day-to-day work life. It’s for government employees: who drive every day to provide outstanding services and make things happen. It’s for local government leaders: who drive government to be better every year, to get more out of less, to improve the quality and quantity of information, and maximize the value from each critical team member. And to a limited extent, it’s for a few dedicated members of our team: who answer questions and help make connections. Team members who have the backs of our customers, who, in many cases, are our friends. IT’S ALL ABOUT THE PEOPLE AND CONVERSATIONS THAT MATTER CONNECT WITH OVER 3,000 OTHER LEADERS! The latest from our blog and learning center The Risks of Free Agenda Management Software A well-established marketing tactic is to give something away for free so that potential customers have a chance to try.... READ MORE > Why is Transparency Critical in Local Government? Local citizens do their best to vet their political candidates to ensure they get public officials into office that are.... READ MORE > How Clerks Can Apply Agenda Management for Lighter Workloads The clerk’s desk contains a highway of important paperwork. Not too many documents circulate around a municipal government office without.... READ MORE > Go to top Happy Customers Benefits Customer stories LeadOn Weekly Blog Book a meeting What challenge can we help you with today? We’re here to helpRequest a Demo See it live 1 Minute Intro Demo Videos Sitemap Privacy Do Not Sell My Personal Information ©2020 Diligent Corporation | website by brand collective",0.2785847525116393,0.42920750633014776,Positive,Objective
14880,16083,20200504,icompasstech.com,https://www.icompasstech.com/?s={search_term_string},text/html,text/html,en,"You searched for {search_term_string} - iCompass Skip to primary navigation Skip to main content Councilviews LeadOn Blog Contact Us Search this website iCompass Solutions Meeting Manager Meeting Manager Pro Board Manager Video Manager HD Resources COVID-19 Resources Pricing Company Contact Us Get Started Search Results Home > Search for ""{search_term_string}"" Your search results for: {search_term_string} Sorry, no content matched your criteria. What challenge can we help you with today? We’re here to helpRequest a Demo Sitemap Privacy Do Not Sell My Personal Information ©2020 Diligent Corporation | website by brand collective",-0.13666666666666666,0.6266666666666666,Negative,Subjective
14914,16124,20200504,icompasstech.com,https://www.icompasstech.com/?s={s},text/html,text/html,en,"You searched for {s} - iCompass Skip to primary navigation Skip to main content Councilviews LeadOn Blog Contact Us Search this website iCompass Solutions Meeting Manager Meeting Manager Pro Board Manager Video Manager HD Resources COVID-19 Resources Pricing Company Contact Us Get Started Search Results Home > Search for ""{s}"" Your search results for: {s} Sorry, no content matched your criteria. What challenge can we help you with today? We’re here to helpRequest a Demo Sitemap Privacy Do Not Sell My Personal Information ©2020 Diligent Corporation | website by brand collective",-0.13666666666666666,0.6266666666666666,Negative,Subjective
18744,20803,20200516,icompasstech.com,https://www.icompasstech.com/,text/html,text/html,en,"Home - iCompass - Local government software solution Skip to primary navigation Skip to main content Councilviews LeadOn Blog Contact Us Search this website iCompass Solutions Meeting Manager Meeting Manager Pro Board Manager Video Manager HD Resources COVID-19 Resources Pricing Company Contact Us Get Started Local Government Software Solution Remote Meeting and Agenda Management Built to Drive Good Governance with a Modern Approach See what it means Buyer’s Guide Happy Customers Smart, easy software solution designed for local governments of any size. It’s that simple. iCompass' agenda and meeting management software helps people in local government with limited resources and time excel at serving citizens. Known and trusted as the local government experts, iCompass is an agent for intelligent innovation. SEE WHAT IT MEANS FOR CLERKS FOR CITY MANAGERS What can you do with iCompass meeting & agenda management solutions? Eliminate manual tasks Save time and costs by removing the need for paper-based processes and patched-together solutions Be more transparent Improve public access to meetings, agendas, minutes and records Empower your team Give your team the tools to enable them to turn their focus towards key community issues Have information at your fingertips Centralize information to access up-to-date agendas, minutes, records and meeting recordings in real time Engage more citizens Provide a consistent, reliable user experience for citizens across all modern devices Reduce operating costs Maximize efficiency and demonstrate a measurable return on investment with simplified processes Turn change into opportunity Get access to simple yet advanced new technologies geared to local governments and transform your operations in a changing digital landscape Make better decisions Get more visibility and insights from the public and staff to promote a culture of intelligent innovation Bring everyone together Get everyone on the same page by creating order out of chaos to make work life and city operations run more smoothly See our solutions Running a local government is complex. We’re here to make it simpler, easier and more organized. At iCompass we believe that finding the right solution, setting it up and using it to improve your workplace shouldn’t be so much work. Our friendly customer success team is one of the best in the industry with expert, in-person service 24 hours a day, 7 days a week, 365 days a year. No matter where you are or what you need our help with, we’re here. PROUD TO BE PEOPLE PLEASERS WHAT CUSTOMERS SAY iCompass solutions are all-encompassing, to make our lives easier, simpler and faster. Joe Bridgeman, Deputy Clerk, Huron Charter Township, Michigan Moving to iCompass is the greatest thing we've done. It has saved us time and money and everyone here has been loving it! Melody Shuler, Town Clerk, Town of Waxhaw, North Carolina iCompass is knowledgeable, they understand local government, they know what we do, they feel our same pains, and they make The City of Issaquah more successful. Tina Eggers, City Clerk, City of Issaquah, Washington ""It's about more than just getting rid of the paper. iCompass lets you do more, more than you even imagined you could."" Rebecca Murphy, Director of Legal Services/Clerk, Town of Bradford West Gwillimbury, Ontario One of the biggest benefits of iCompass is the quality of their software programs and how they all seamlessly connect, whether you're using several modules or their entire suite of products. Rena Schill, Corporate Services/Records Management Coordinator, City of Williams Lake, British Columbia iCompass' meeting and record management solutions have enabled our organization to achieve efficiencies in searching for documents, preparing agendas and minutes for Council meetings and tracking our action items arising from Council meetings. Carrie Dyrek, Town Clerk, Town of Cave Creek, Arizona We are very pleased with the attention and support we receive from the team at iCompass. Our issues and questions are resolved promptly so as not to disrupt the City's daily activities. Sara Ridout, City Clerk, City of Aiken, South Carolina We would enthusiastically recommend that any municipality looking to enter the realm of electronic agenda management take a long hard look at iCompass: it is one of the most attractive agenda software packages on the market. William Kolasa, Director of Corporate Services, Town of Lincoln, Ontario We've been able to accomplish our goal of paperless meetings in a very smooth, easy manner. iCompass customer support is exceptional. They are very knowledgeable and handled every question very quickly. Roben Haggart, Clerk, Town of Minocqua, Wisconsin WANT TO IMPROVE YOUR TEAM’S EFFICIENCY? WE CAN HELP. SEE OUR CUSTOMER STORIES What’s LeadOn? A community of people like you LeadOn is a fast-growing peer-to-peer network for more than 3,000 local government leaders that’s all about getting industry updates, sharing information, networking online and discovering new and better ways to improve your day-to-day work life. It’s for government employees: who drive every day to provide outstanding services and make things happen. It’s for local government leaders: who drive government to be better every year, to get more out of less, to improve the quality and quantity of information, and maximize the value from each critical team member. And to a limited extent, it’s for a few dedicated members of our team: who answer questions and help make connections. Team members who have the backs of our customers, who, in many cases, are our friends. IT’S ALL ABOUT THE PEOPLE AND CONVERSATIONS THAT MATTER CONNECT WITH OVER 3,000 OTHER LEADERS! The latest from our blog and learning center The Risks of Free Agenda Management Software A well-established marketing tactic is to give something away for free so that potential customers have a chance to try.... READ MORE > Why is Transparency Critical in Local Government? Local citizens do their best to vet their political candidates to ensure they get public officials into office that are.... READ MORE > How Clerks Can Apply Agenda Management for Lighter Workloads The clerk’s desk contains a highway of important paperwork. Not too many documents circulate around a municipal government office without.... READ MORE > Go to top Happy Customers Benefits Customer stories LeadOn Weekly Blog Book a meeting What challenge can we help you with today? We’re here to helpRequest a Demo See it live 1 Minute Intro Demo Videos Sitemap Privacy Do Not Sell My Personal Information ©2020 Diligent Corporation | website by brand collective",0.27504657725452114,0.42706538010276324,Positive,Objective
