,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
503996,584725,20210430,ignitefaithniagara.ca,https://ignitefaithniagara.ca/,text/html,text/html,en,"IGNITE: – Faith in the Future Home Ministries & Projects Contact Us Menu Home Ministries & Projects Contact Us Donate Now Ignite: Faith in the Future This is the evocative and hope-filled name of the refreshed stewardship initiative within the Anglican Diocese of Niagara. It is designed to support the many ministries and programs shared by the people of our diocese. Our bishop, Susan Bell, says the new name makes a bold commitment. “It’s a statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” This initiative is a way to easily learn about the ministries and programs we support as a diocese. It also provides ways you can be involved with your gifts of time, skills, and finances. Please join us as we strengthen our communities of faith, belonging, and outreach ministries and programs as we build our faith in the future. As the mission statement of the Anglican Diocese of Niagara states: Ignited by the irresistible love of Jesus and renewed by the Holy Spirit, we partner with God to deepen faith, share stories and care for God’s world. Make your bold commitment now and ignite possibility and creativity for the future of our faith. Donate today or for more information on how to get involved please contact Gillian Doucet Campbell, Director of Stewardship and Development, call 905.527.1316 ext. 440 or email. To receive our quarterly newsletter, sign-up here. Ignite: Our Ministries & Projects Anti-Racism, Diversity, Equity, & Inclusion Work Canterbury Hills Camp Chaplaincies Children, Youth, & Family Ministry Climate Justice Niagara Faith Formation Leadership Development Migrant Farmworkers Project Mission in Acts (formerly Chinese Anglican Ministry) Refugee Sponsorship Truth, Reconciliation, & Indigenous Ministry Sign up for our Ignite quarterly newsletter ... First Name Last Name Email Send >>>>> Donate Your donation to Ignite: Faith in the Future is as Bishop Susan Bell says, “A statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” Thank you for your gift. Donate Now Anglican Diocese of Niagara Cathedral Place 252 James Street North Hamilton, ON L8R 2L3 Registered Name: The Synod of the Diocese of Niagara Business Number: 108099771RR0001 We acknowledge with respect the history, spirituality, and culture of the Indigenous peoples with whom the Upper Canada Treaties were signed and the territory wherein our church resides. PRIVACY POLICY CONTACT US HOME Menu PRIVACY POLICY CONTACT US HOME Website by: https://websitewebhostingservices.com Facebook-f Twitter",0.14896885521885525,0.3364162457912458,Positive,Objective
504067,584831,20210430,ignitefaithniagara.ca,https://ignitefaithniagara.ca/wordpress/wp-content/plugins/elementor-pro/assets/,text/html,text/html,en,Index of /wordpress/wp-content/plugins/elementor-pro/assets Index of /wordpress/wp-content/plugins/elementor-pro/assets Parent Directory css/ js/ lib/,0.0,0.0,Neutral,Objective
504074,584844,20210430,ignitefaithniagara.ca,https://ignitefaithniagara.ca/wordpress/wp-content/plugins/elementor/assets/,text/html,text/html,en,Index of /wordpress/wp-content/plugins/elementor/assets Index of /wordpress/wp-content/plugins/elementor/assets Parent Directory css/ images/ js/ lib/ mask-shapes/ shapes/ svg-paths/,0.0,0.0,Neutral,Objective
512766,595290,20210507,ignitefaithniagara.ca,https://ignitefaithniagara.ca/,text/html,text/html,en,"IGNITE: – Faith in the Future Home Ministries & Projects Contact Us Menu Home Ministries & Projects Contact Us Donate Now Ignite: Faith in the Future This is the evocative and hope-filled name of the refreshed stewardship initiative within the Anglican Diocese of Niagara. It is designed to support the many ministries and programs shared by the people of our diocese. Our bishop, Susan Bell, says the new name makes a bold commitment. “It’s a statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” This initiative is a way to easily learn about the ministries and programs we support as a diocese. It also provides ways you can be involved with your gifts of time, skills, and finances. Please join us as we strengthen our communities of faith, belonging, and outreach ministries and programs as we build our faith in the future. As the mission statement of the Anglican Diocese of Niagara states: Ignited by the irresistible love of Jesus and renewed by the Holy Spirit, we partner with God to deepen faith, share stories and care for God’s world. Make your bold commitment now and ignite possibility and creativity for the future of our faith. Donate today or for more information on how to get involved please contact Gillian Doucet Campbell, Director of Stewardship and Development, call 905.527.1316 ext. 440 or email. To receive our quarterly newsletter, sign-up here. Ignite: Our Ministries & Projects Anti-Racism, Diversity, Equity, & Inclusion Work Canterbury Hills Camp Chaplaincies Children, Youth, & Family Ministry Climate Justice Niagara Faith Formation Leadership Development Migrant Farmworkers Project Mission in Acts (formerly Chinese Anglican Ministry) Refugee Sponsorship Truth, Reconciliation, & Indigenous Ministry Sign up for our Ignite quarterly newsletter ... First Name Last Name Email Send >>>>> Donate Your donation to Ignite: Faith in the Future is as Bishop Susan Bell says, “A statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” Thank you for your gift. Donate Now Anglican Diocese of Niagara Cathedral Place 252 James Street North Hamilton, ON L8R 2L3 Registered Name: The Synod of the Diocese of Niagara Business Number: 108099771RR0001 We acknowledge with respect the history, spirituality, and culture of the Indigenous peoples with whom the Upper Canada Treaties were signed and the territory wherein our church resides. PRIVACY POLICY CONTACT US HOME Menu PRIVACY POLICY CONTACT US HOME Website by: https://websitewebhostingservices.com Facebook-f Twitter",0.14896885521885525,0.3364162457912458,Positive,Objective
521554,605796,20210514,ignitefaithniagara.ca,https://ignitefaithniagara.ca/,text/html,text/html,en,"IGNITE: – Faith in the Future Home Ministries & Projects Contact Us Menu Home Ministries & Projects Contact Us Donate Now Ignite: Faith in the Future This is the evocative and hope-filled name of the refreshed stewardship initiative within the Anglican Diocese of Niagara. It is designed to support the many ministries and programs shared by the people of our diocese. Our bishop, Susan Bell, says the new name makes a bold commitment. “It’s a statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” This initiative is a way to easily learn about the ministries and programs we support as a diocese. It also provides ways you can be involved with your gifts of time, skills, and finances. Please join us as we strengthen our communities of faith, belonging, and outreach ministries and programs as we build our faith in the future. As the mission statement of the Anglican Diocese of Niagara states: Ignited by the irresistible love of Jesus and renewed by the Holy Spirit, we partner with God to deepen faith, share stories and care for God’s world. Make your bold commitment now and ignite possibility and creativity for the future of our faith. Donate today or for more information on how to get involved please contact Gillian Doucet Campbell, Director of Stewardship and Development, call 905.527.1316 ext. 440 or email. To receive our quarterly newsletter, sign-up here. Ignite: Our Ministries & Projects Anti-Racism, Diversity, Equity, & Inclusion Work Canterbury Hills Camp Chaplaincies Children, Youth, & Family Ministry Climate Justice Niagara Faith Formation Leadership Development Migrant Farmworkers Project Mission in Acts (formerly Chinese Anglican Ministry) Refugee Sponsorship Truth, Reconciliation, & Indigenous Ministry Sign up for our Ignite quarterly newsletter ... First Name Last Name Email Send >>>>> Donate Your donation to Ignite: Faith in the Future is as Bishop Susan Bell says, “A statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” Thank you for your gift. Donate Now Anglican Diocese of Niagara Cathedral Place 252 James Street North Hamilton, ON L8R 2L3 Registered Name: The Synod of the Diocese of Niagara Business Number: 108099771RR0001 We acknowledge with respect the history, spirituality, and culture of the Indigenous peoples with whom the Upper Canada Treaties were signed and the territory wherein our church resides. PRIVACY POLICY CONTACT US HOME Menu PRIVACY POLICY CONTACT US HOME Website by: https://websitewebhostingservices.com Facebook-f Twitter",0.14896885521885525,0.3364162457912458,Positive,Objective
530333,616199,20210521,ignitefaithniagara.ca,https://ignitefaithniagara.ca/,text/html,text/html,en,"IGNITE: – Faith in the Future Home Ministries & Projects Contact Us Menu Home Ministries & Projects Contact Us Donate Now Ignite: Faith in the Future This is the evocative and hope-filled name of the refreshed stewardship initiative within the Anglican Diocese of Niagara. It is designed to support the many ministries and programs shared by the people of our diocese. Our bishop, Susan Bell, says the new name makes a bold commitment. “It’s a statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” This initiative is a way to easily learn about the ministries and programs we support as a diocese. It also provides ways you can be involved with your gifts of time, skills, and finances. Please join us as we strengthen our communities of faith, belonging, and outreach ministries and programs as we build our faith in the future. As the mission statement of the Anglican Diocese of Niagara states: Ignited by the irresistible love of Jesus and renewed by the Holy Spirit, we partner with God to deepen faith, share stories and care for God’s world. Make your bold commitment now and ignite possibility and creativity for the future of our faith. Donate today or for more information on how to get involved please contact Gillian Doucet Campbell, Director of Stewardship and Development, call 905.527.1316 ext. 440 or email. To receive our quarterly newsletter, sign-up here. Ignite: Our Ministries & Projects Anti-Racism, Diversity, Equity, & Inclusion Work Canterbury Hills Camp Chaplaincies Children, Youth, & Family Ministry Climate Justice Niagara Faith Formation Leadership Development Migrant Farmworkers Project Mission in Acts (formerly Chinese Anglican Ministry) Refugee Sponsorship Social Justice & Engagement Truth, Reconciliation, & Indigenous Ministry Sign up for our Ignite quarterly newsletter ... First Name Last Name Email Send >>>>> Donate Your donation to Ignite: Faith in the Future is as Bishop Susan Bell says, “A statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” Thank you for your gift. Donate Now Anglican Diocese of Niagara Cathedral Place 252 James Street North Hamilton, ON L8R 2L3 Registered Name: The Synod of the Diocese of Niagara Business Number: 108099771RR0001 We acknowledge with respect the history, spirituality, and culture of the Indigenous peoples with whom the Upper Canada Treaties were signed and the territory wherein our church resides. PRIVACY POLICY CONTACT US HOME Menu PRIVACY POLICY CONTACT US HOME Website by: https://websitewebhostingservices.com Facebook-f Twitter",0.14434343434343436,0.3256262626262626,Positive,Objective
539040,626627,20210528,ignitefaithniagara.ca,https://ignitefaithniagara.ca/,text/html,text/html,en,"IGNITE: – Faith in the Future Home Ministries & Projects Contact Us Menu Home Ministries & Projects Contact Us Donate Now Ignite: Faith in the Future This is the evocative and hope-filled name of the refreshed stewardship initiative within the Anglican Diocese of Niagara. It is designed to support the many ministries and programs shared by the people of our diocese. Our bishop, Susan Bell, says the new name makes a bold commitment. “It’s a statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” This initiative is a way to easily learn about the ministries and programs we support as a diocese. It also provides ways you can be involved with your gifts of time, skills, and finances. Please join us as we strengthen our communities of faith, belonging, and outreach ministries and programs as we build our faith in the future. As the mission statement of the Anglican Diocese of Niagara states: Ignited by the irresistible love of Jesus and renewed by the Holy Spirit, we partner with God to deepen faith, share stories and care for God’s world. Make your bold commitment now and ignite possibility and creativity for the future of our faith. Donate today or for more information on how to get involved please contact Gillian Doucet Campbell, Director of Stewardship and Development, call 905.527.1316 ext. 440 or email. To receive our quarterly newsletter, sign-up here. Ignite: Our Ministries & Projects Anti-Racism, Diversity, Equity, & Inclusion Work Canterbury Hills Camp Chaplaincies Children, Youth, & Family Ministry Climate Justice Niagara Faith Formation Leadership Development Migrant Farmworkers Project Mission in Acts (formerly Chinese Anglican Ministry) Refugee Sponsorship Social Justice & Engagement Truth, Reconciliation, & Indigenous Ministry Sign up for our Ignite quarterly newsletter ... First Name Last Name Email Send >>>>> Donate Your donation to Ignite: Faith in the Future is as Bishop Susan Bell says, “A statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” Thank you for your gift. Donate Now Anglican Diocese of Niagara Cathedral Place 252 James Street North Hamilton, ON L8R 2L3 Registered Name: The Synod of the Diocese of Niagara Business Number: 108099771RR0001 We acknowledge with respect the history, spirituality, and culture of the Indigenous peoples with whom the Upper Canada Treaties were signed and the territory wherein our church resides. PRIVACY POLICY CONTACT US HOME Menu PRIVACY POLICY CONTACT US HOME Website by: https://websitewebhostingservices.com Facebook-f Twitter",0.14434343434343436,0.3256262626262626,Positive,Objective
548036,637248,20210604,ignitefaithniagara.ca,https://ignitefaithniagara.ca/,text/html,text/html,en,"IGNITE: – Faith in the Future Home Ministries & Projects Contact Us Menu Home Ministries & Projects Contact Us Donate Now Ignite: Faith in the Future This is the evocative and hope-filled name of the refreshed stewardship initiative within the Anglican Diocese of Niagara. It is designed to support the many ministries and programs shared by the people of our diocese. Our bishop, Susan Bell, says the new name makes a bold commitment. “It’s a statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” This initiative is a way to easily learn about the ministries and programs we support as a diocese. It also provides ways you can be involved with your gifts of time, skills, and finances. Please join us as we strengthen our communities of faith, belonging, and outreach ministries and programs as we build our faith in the future. As the mission statement of the Anglican Diocese of Niagara states: Ignited by the irresistible love of Jesus and renewed by the Holy Spirit, we partner with God to deepen faith, share stories and care for God’s world. Make your bold commitment now and ignite possibility and creativity for the future of our faith. Donate today or for more information on how to get involved please contact Gillian Doucet Campbell, Director of Stewardship and Development, call 905.527.1316 ext. 440 or email. To receive our quarterly newsletter, sign-up here. Ignite: Our Ministries & Projects Anti-Racism, Diversity, Equity, & Inclusion Work Canterbury Hills Camp Chaplaincies Children, Youth, & Family Ministry Climate Justice Niagara Faith Formation Leadership Development Migrant Farmworkers Project Mission in Acts (formerly Chinese Anglican Ministry) Refugee Sponsorship Social Justice & Engagement Truth, Reconciliation, & Indigenous Ministry Sign up for our Ignite quarterly newsletter ... First Name Last Name Email Send >>>>> Donate Your donation to Ignite: Faith in the Future is as Bishop Susan Bell says, “A statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” Thank you for your gift. Donate Now Anglican Diocese of Niagara Cathedral Place 252 James Street North Hamilton, ON L8R 2L3 Registered Name: The Synod of the Diocese of Niagara Business Number: 108099771RR0001 We acknowledge with respect the history, spirituality, and culture of the Indigenous peoples with whom the Upper Canada Treaties were signed and the territory wherein our church resides. PRIVACY POLICY CONTACT US HOME Menu PRIVACY POLICY CONTACT US HOME Website by: https://websitewebhostingservices.com Facebook-f Twitter",0.14434343434343436,0.3256262626262626,Positive,Objective
557119,647820,20210611,ignitefaithniagara.ca,https://ignitefaithniagara.ca/,text/html,text/html,en,"IGNITE: – Faith in the Future Home Ministries & Projects Contact Us Menu Home Ministries & Projects Contact Us Donate Now Ignite: Faith in the Future This is the evocative and hope-filled name of the refreshed stewardship initiative within the Anglican Diocese of Niagara. It is designed to support the many ministries and programs shared by the people of our diocese. Our bishop, Susan Bell, says the new name makes a bold commitment. “It’s a statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” This initiative is a way to easily learn about the ministries and programs we support as a diocese. It also provides ways you can be involved with your gifts of time, skills, and finances. Please join us as we strengthen our communities of faith, belonging, and outreach ministries and programs as we build our faith in the future. As the mission statement of the Anglican Diocese of Niagara states: Ignited by the irresistible love of Jesus and renewed by the Holy Spirit, we partner with God to deepen faith, share stories and care for God’s world. Make your bold commitment now and ignite possibility and creativity for the future of our faith. Donate today or for more information on how to get involved please contact Gillian Doucet Campbell, Director of Stewardship and Development, call 905.527.1316 ext. 440 or email. To receive our quarterly newsletter, sign-up here. Ignite: Our Ministries & Projects Anti-Racism, Diversity, Equity, & Inclusion Work Canterbury Hills Camp Chaplaincies Children, Youth, & Family Ministry Climate Justice Niagara Faith Formation Leadership Development Migrant Farmworkers Project Mission in Acts (formerly Chinese Anglican Ministry) Refugee Sponsorship Social Justice & Outreach Truth, Reconciliation, & Indigenous Ministry Sign up for our Ignite quarterly newsletter ... First Name Last Name Email Send >>>>> Donate Your donation to Ignite: Faith in the Future is as Bishop Susan Bell says, “A statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” Thank you for your gift. Donate Now Anglican Diocese of Niagara Cathedral Place 252 James Street North Hamilton, ON L8R 2L3 Registered Name: The Synod of the Diocese of Niagara Business Number: 108099771RR0001 We acknowledge with respect the history, spirituality, and culture of the Indigenous peoples with whom the Upper Canada Treaties were signed and the territory wherein our church resides. PRIVACY POLICY CONTACT US HOME Menu PRIVACY POLICY CONTACT US HOME Website by: https://websitewebhostingservices.com Facebook-f Twitter",0.14434343434343436,0.3256262626262626,Positive,Objective
565227,657623,20210618,ignitefaithniagara.ca,https://ignitefaithniagara.ca/,text/html,text/html,en,"IGNITE: – Faith in the Future Home Ministries & Projects Contact Us Menu Home Ministries & Projects Contact Us Donate Now Ignite: Faith in the Future This is the evocative and hope-filled name of the refreshed stewardship initiative within the Anglican Diocese of Niagara. It is designed to support the many ministries and programs shared by the people of our diocese. Our bishop, Susan Bell, says the new name makes a bold commitment. “It’s a statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” This initiative is a way to easily learn about the ministries and programs we support as a diocese. It also provides ways you can be involved with your gifts of time, skills, and finances. Please join us as we strengthen our communities of faith, belonging, and outreach ministries and programs as we build our faith in the future. As the mission statement of the Anglican Diocese of Niagara states: Ignited by the irresistible love of Jesus and renewed by the Holy Spirit, we partner with God to deepen faith, share stories and care for God’s world. Make your bold commitment now and ignite possibility and creativity for the future of our faith. Donate today or for more information on how to get involved please contact Gillian Doucet Campbell, Director of Stewardship and Development, call 905.527.1316 ext. 440 or email. To receive our quarterly newsletter, sign-up here. Ignite: Our Ministries & Projects Anti-Racism, Diversity, Equity, & Inclusion Work Canterbury Hills Camp Chaplaincies Children, Youth, & Family Ministry Climate Justice Niagara Faith Formation Leadership Development Migrant Farmworkers Project Mission in Acts (formerly Chinese Anglican Ministry) Refugee Sponsorship Social Justice & Outreach Truth, Reconciliation, & Indigenous Ministry Sign up for our Ignite quarterly newsletter ... First Name Last Name Email Send >>>>> Donate Your donation to Ignite: Faith in the Future is as Bishop Susan Bell says, “A statement of confidence in God’s church – that the ministries we support with intention now will flourish long into the future. It is also a statement that faith is being ignited in and through works of love and mercy in our parish communities up and down the diocese.” Thank you for your gift. Donate Now Anglican Diocese of Niagara Cathedral Place 252 James Street North Hamilton, ON L8R 2L3 Registered Name: The Synod of the Diocese of Niagara Business Number: 108099771RR0001 We acknowledge with respect the history, spirituality, and culture of the Indigenous peoples with whom the Upper Canada Treaties were signed and the territory wherein our church resides. PRIVACY POLICY CONTACT US HOME Menu PRIVACY POLICY CONTACT US HOME Website by: https://websitewebhostingservices.com Facebook-f Twitter",0.14434343434343436,0.3256262626262626,Positive,Objective
