,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
4907,4982,20200417,iheartradio.ca,https://www.iheartradio.ca/610cktb/audio/covid-19-niagara-on-the-lake-announces-fines-for-people-not-following-the-covid-19-rules-1.11473551?mode=Article,text/html,text/html,en,"COVID-19 | Niagara-on-the-Lake Announces Fines for People Not Following the COVID-19 Rules iHeartRadio For You My Stations Live Radio Podcasts Artist Radio News Features Events Videos Contests iHeartRadio Contact Us Logo -1°C Facebook Twitter Instagram 61010 Sms* News What's Open BNN BLOOMBERG Shows Contests Audio Events Weather Features COVID-19 | Niagara-on-the-Lake Announces Fines for People Not Following the COVID-19 Rules Audio cut Matt Holmes Speaks with Betty Disero – Lord Mayor Niagara-on-the-Lake regarding fines for people not following COVID-19 rules Latest News 97 charges laid in connection with downtown St. Catharines shooting Debate in Quebec over the ethics of herd immunity McCall MacBain Foundation donates $250,000 to Niagara causes Group_Element_Footer_Newstalk610 Contact Us Logo News Shows Contests Audio Events Features Contact Information 12 Yates Street St. Catharines ON L2R 5R2 Phones RECEPTION (905) 684-1174 NEWSROOM (905) 684-0480 CONTEST / TALK LINE (905) 688-2582 Website Facebook Twitter Instagram 61010 Sms* 97 charges laid in connection… 97 charges laid in connection with downtown St. Catharines shooting Group Footer EN iHeartRadio Facebook Twitter Youtube Instagram iHeartRadio For You My Stations Live Radio Podcasts News Features Events Contests Contact iHeartRadio 299 Queen Street West Toronto ON M5V 2Z5 Phone Websites iHeartRadio Terms and Conditions Contact Us Political Ad Registry Get the apps Google Play Apple Store",0.09659090909090909,0.35000000000000003,Positive,Objective
4920,4996,20200417,iheartradio.ca,https://www.iheartradio.ca/610cktb/audio/covid-19-niagara-on-the-lake-announces-fines-for-people-not-following-the-covid-19-rules-1.11473551,text/html,text/html,en,COVID-19 | Niagara-on-the-Lake Announces Fines for People Not Following the COVID-19 Rules iHeartRadio For You My Stations Live Radio Podcasts Artist Radio News Features Events Videos Contests iHeartRadio Contact Us Logo -1°C Facebook Twitter Instagram 61010 Sms* News What's Open BNN BLOOMBERG Shows Contests Audio Events Weather Features COVID-19 | Niagara-on-the-Lake Announces Fines for People Not Following the COVID-19 Rules COVID-19 | Niagara-on-the-Lake Announces Fines for People Not Following the COVID-19 Rules Matt Holmes Speaks with Betty Disero – Lord Mayor Niagara-on-the-Lake regarding fines for people not following COVID-19 rules Latest News An annual walk is going virtual Niagara Parks suspending operations at Miller's Creek Marina for 2020 boating season 97 charges laid in connection with downtown St. Catharines shooting Group_Element_Footer_Newstalk610 Contact Us Logo News Shows Contests Audio Events Features Contact Information 12 Yates Street St. Catharines ON L2R 5R2 Phones RECEPTION (905) 684-1174 NEWSROOM (905) 684-0480 CONTEST / TALK LINE (905) 688-2582 Website Facebook Twitter Instagram 61010 Sms* An annual walk is going virtu… An annual walk is going virtual Group Footer EN iHeartRadio Facebook Twitter Youtube Instagram iHeartRadio For You My Stations Live Radio Podcasts News Features Events Contests Contact iHeartRadio 299 Queen Street West Toronto ON M5V 2Z5 Phone Websites iHeartRadio Terms and Conditions Contact Us Political Ad Registry Get the apps Google Play Apple Store,0.08585858585858586,0.32222222222222224,Positive,Objective
4926,5002,20200417,iheartradio.ca,https://www.iheartradio.ca/,text/html,text/html,eu,iHeartRadio,0.0,0.0,Neutral,Objective
4933,5010,20200417,iheartradio.ca,https://www.iheartradio.ca/610cktb/audio/covid-19-impact-on-niagara-on-the-lake-old-town-state-of-emergency-clarification-misunderstandings-1.11186856?mode=Article,text/html,text/html,en,COVID-19 | Impact on Niagara-on-the-Lake/Old Town State of Emergency iHeartRadio For You My Stations Live Radio Podcasts Artist Radio News Features Events Videos Contests iHeartRadio Contact Us Logo 1°C Facebook Twitter Instagram 61010 Sms* News What's Open BNN BLOOMBERG Shows Contests Audio Events Weather Features COVID-19 | Impact on Niagara-on-the-Lake/Old Town State of Emergency Audio cut Matt Holmes Speaks with Lord Mayor Niagara-on-the-Lake Betty Disero regarding the old town's State of Emergency clarification Latest News Drive-through COVID-19 testing centre opening in Hamilton Voting opens today to rename Lakeside Park pavilion in Neil Peart's honour An annual walk is going virtual Group_Element_Footer_Newstalk610 Contact Us Logo News Shows Contests Audio Events Features Contact Information 12 Yates Street St. Catharines ON L2R 5R2 Phones RECEPTION (905) 684-1174 NEWSROOM (905) 684-0480 CONTEST / TALK LINE (905) 688-2582 Website Facebook Twitter Instagram 61010 Sms* Drive-through COVID-19 testin… Drive-through COVID-19 testing centre opening in Hamilton Group Footer EN iHeartRadio Facebook Twitter Youtube Instagram iHeartRadio For You My Stations Live Radio Podcasts News Features Events Contests Contact iHeartRadio 299 Queen Street West Toronto ON M5V 2Z5 Phone Websites iHeartRadio Terms and Conditions Contact Us Political Ad Registry Get the apps Google Play Apple Store,0.14545454545454545,0.45,Positive,Objective
4934,5011,20200417,iheartradio.ca,https://www.iheartradio.ca/610cktb/audio/covid-19-impact-on-niagara-on-the-lake-old-town-state-of-emergency-1.11186856,text/html,text/html,en,COVID-19 | Impact on Niagara-on-the-Lake/Old Town State of Emergency iHeartRadio For You My Stations Live Radio Podcasts Artist Radio News Features Events Videos Contests iHeartRadio Contact Us Logo 1°C Facebook Twitter Instagram 61010 Sms* News What's Open BNN BLOOMBERG Shows Contests Audio Events Weather Features COVID-19 | Impact on Niagara-on-the-Lake/Old Town State of Emergency COVID-19 | Impact on Niagara-on-the-Lake/Old Town State of Emergency Matt Holmes Speaks with Lord Mayor Niagara-on-the-Lake Betty Disero regarding the old town's State of Emergency clarification Latest News Drive-through COVID-19 testing centre opening in Hamilton Voting opens today to rename Lakeside Park pavilion in Neil Peart's honour An annual walk is going virtual Group_Element_Footer_Newstalk610 Contact Us Logo News Shows Contests Audio Events Features Contact Information 12 Yates Street St. Catharines ON L2R 5R2 Phones RECEPTION (905) 684-1174 NEWSROOM (905) 684-0480 CONTEST / TALK LINE (905) 688-2582 Website Facebook Twitter Instagram 61010 Sms* Drive-through COVID-19 testin… Drive-through COVID-19 testing centre opening in Hamilton Group Footer EN iHeartRadio Facebook Twitter Youtube Instagram iHeartRadio For You My Stations Live Radio Podcasts News Features Events Contests Contact iHeartRadio 299 Queen Street West Toronto ON M5V 2Z5 Phone Websites iHeartRadio Terms and Conditions Contact Us Political Ad Registry Get the apps Google Play Apple Store,0.14545454545454545,0.45,Positive,Objective
6622,6752,20200417,iheartradio.ca,https://www.iheartradio.ca/610cktb/news/update-dillon-s-expanding-sanitizer-deliveries-province-wide-1.11062607,text/html,text/html,en,"UPDATE | Dillon's expanding sanitizer deliveries province-wide iHeartRadio For You My Stations Live Radio Podcasts Artist Radio News Features Events Videos Contests iHeartRadio Contact Us Logo 1°C Facebook Twitter Instagram 61010 Sms* News What's Open BNN BLOOMBERG Shows Contests Audio Events Weather Features UPDATE | Dillon's expanding sanitizer deliveries province-wide Shelby Knox courtesy Dillon's Distillery A local distillery is expanding efforts to get sanitizer into the hands of those who really need it. Dillon's Distillery in Beamsville started bottling hand sanitizer and 65 percent alcohol two weeks ago to fill the gap in supply. Company spokesperson Whitney Rorison says since then, police departments, fire departments, and hospitals in need have reached out to the company. Officials say they can now deliver the sanitizer across Ontario thanks to help from Beatties and Volkwagen. The ethanol sanitizer is available to essential services for free. Drive-through COVID-19 testing centre opening in Hamilton A COVID-19 drive-through testing centre is opening in Hamilton at the Dave Andreychuk Mountain Arena. Voting opens today to rename Lakeside Park pavilion in Neil Peart's honour Some memories last forever An annual walk is going virtual An annual fundraising walk to benefit ALS research is going virtual as it adapts to the ongoing changes from COVID-19. CKTB - Storm Desk Llink Latest Audio Mccall Macbain Foundation Donates $250,000 To Niagara Causes Tim talks to Niagara Falls Mayor Jim Diodati. John McCall MacBain, a former Niagara Falls resident who helped to name the MacBain Community Centre in honour of his parents, has donated a considerable sum through the McCall MacBain Foundation. COVID-19 | Safari Niagara CLOSED – How are they holding up? Tim talks to Tim Tykolis, General Manager of Safari Niagara. AT HOME WATCHING MOVIES WITH RICHARD CROUSE Tim talks to Richard Crouse, Host of the talk show Pop Life on CTV NewsChannel and CTV! This week watching: Underwater, Rosie and, She Never Dies Group_Element_Footer_Newstalk610 Contact Us Logo News Shows Contests Audio Events Features Contact Information 12 Yates Street St. Catharines ON L2R 5R2 Phones RECEPTION (905) 684-1174 NEWSROOM (905) 684-0480 CONTEST / TALK LINE (905) 688-2582 Website Facebook Twitter Instagram 61010 Sms* Drive-through COVID-19 testin… Drive-through COVID-19 testing centre opening in Hamilton Group Footer EN iHeartRadio Facebook Twitter Youtube Instagram iHeartRadio For You My Stations Live Radio Podcasts News Features Events Contests Contact iHeartRadio 299 Queen Street West Toronto ON M5V 2Z5 Phone Websites iHeartRadio Terms and Conditions Contact Us Political Ad Registry Get the apps Google Play Apple Store",0.12720170454545454,0.3447916666666666,Positive,Objective
6628,6758,20200417,iheartradio.ca,https://www.iheartradio.ca/610cktb/news/breaking-niagara-public-health-confirms-three-new-covid-19-cases-1.11105843,text/html,text/html,en,"BREAKING | Niagara Public Health confirms three new COVID-19 cases iHeartRadio For You My Stations Live Radio Podcasts Artist Radio News Features Events Videos Contests iHeartRadio Contact Us Logo 1°C Facebook Twitter Instagram 61010 Sms* News What's Open BNN BLOOMBERG Shows Contests Audio Events Weather Features BREAKING | Niagara Public Health confirms three new COVID-19 cases Shelby Knox Bell Média Niagara Region Public Health is confirming three new cases of COVID-19. Officials say the first case involves a woman in her 20s who had travelled to the US, the second case involves a man in his 40s who had also travelled to the US, and the third case involves a man in his 60s who had travelled to the Philippines. Niagara now has a total of 7 cases of COVID-19. Officials say all patients are at home in self-isolation and Public Health is reaching out to anyone who may have had contact with them. Drive-through COVID-19 testing centre opening in Hamilton A COVID-19 drive-through testing centre is opening in Hamilton at the Dave Andreychuk Mountain Arena. Voting opens today to rename Lakeside Park pavilion in Neil Peart's honour Some memories last forever An annual walk is going virtual An annual fundraising walk to benefit ALS research is going virtual as it adapts to the ongoing changes from COVID-19. CKTB - Storm Desk Llink Latest Audio Mccall Macbain Foundation Donates $250,000 To Niagara Causes Tim talks to Niagara Falls Mayor Jim Diodati. John McCall MacBain, a former Niagara Falls resident who helped to name the MacBain Community Centre in honour of his parents, has donated a considerable sum through the McCall MacBain Foundation. COVID-19 | Safari Niagara CLOSED – How are they holding up? Tim talks to Tim Tykolis, General Manager of Safari Niagara. AT HOME WATCHING MOVIES WITH RICHARD CROUSE Tim talks to Richard Crouse, Host of the talk show Pop Life on CTV NewsChannel and CTV! This week watching: Underwater, Rosie and, She Never Dies Group_Element_Footer_Newstalk610 Contact Us Logo News Shows Contests Audio Events Features Contact Information 12 Yates Street St. Catharines ON L2R 5R2 Phones RECEPTION (905) 684-1174 NEWSROOM (905) 684-0480 CONTEST / TALK LINE (905) 688-2582 Website Facebook Twitter Instagram 61010 Sms* Drive-through COVID-19 testin… Drive-through COVID-19 testing centre opening in Hamilton Group Footer EN iHeartRadio Facebook Twitter Youtube Instagram iHeartRadio For You My Stations Live Radio Podcasts News Features Events Contests Contact iHeartRadio 299 Queen Street West Toronto ON M5V 2Z5 Phone Websites iHeartRadio Terms and Conditions Contact Us Political Ad Registry Get the apps Google Play Apple Store",0.07115800865800866,0.30144300144300146,Positive,Objective
6634,6764,20200417,iheartradio.ca,https://www.iheartradio.ca/610cktb/news/Radio.d,text/html,text/html,eu,iHeartRadio,0.0,0.0,Neutral,Objective
6684,6816,20200417,iheartradio.ca,https://www.iheartradio.ca/610cktb/news/covid-19-community-care-changing-how-clients-access-services-1.10724939,text/html,text/html,en,"COVID-19 | Community Care changing how clients access services iHeartRadio For You My Stations Live Radio Podcasts Artist Radio News Features Events Videos Contests iHeartRadio Contact Us Logo 1°C Facebook Twitter Instagram 61010 Sms* News What's Open BNN BLOOMBERG Shows Contests Audio Events Weather Features COVID-19 | Community Care changing how clients access services Shelby Knox Community Care of St. Catharines and Thorold is changing the way they are meeting with clients due to coronavirus concerns. CEO Betty-Lou Souter says they are changing how clients access the building and changing service delivery hours to 10 a.m. until 3 p.m. ""We're going to provide emergency bags of food for people at the back door. People won't be accessing the building. Our housing clients can come to the back door as well - we have a table set up for them where staff will meet with them."" Souter adds they are also changing donation protocols. ""We're going to have to suspend the donation of household goods and clothing, focusing on the most important piece right now which is food security and the funds to help us get there. We don't know how long this is going to go on and if we're running out of particular supplies, having the ability to go and purchase is really helpful. So donations of food and funds are our focus right now."" Community Care has also stepped up the frequency of cleaning and sanitizing high traffic areas. Drive-through COVID-19 testing centre opening in Hamilton A COVID-19 drive-through testing centre is opening in Hamilton at the Dave Andreychuk Mountain Arena. Voting opens today to rename Lakeside Park pavilion in Neil Peart's honour Some memories last forever An annual walk is going virtual An annual fundraising walk to benefit ALS research is going virtual as it adapts to the ongoing changes from COVID-19. CKTB - Storm Desk Llink Latest Audio COVID-19 | Niagara Long Term Care Facility in Need of PPEs Matt Holmes Speaks with Jennie Stevens – St. Catharines MPP NDP regarding the need for PPEs at a Niagara long term care facility Mccall Macbain Foundation Donates $250,000 To Niagara Causes Tim talks to Niagara Falls Mayor Jim Diodati. John McCall MacBain, a former Niagara Falls resident who helped to name the MacBain Community Centre in honour of his parents, has donated a considerable sum through the McCall MacBain Foundation. COVID-19 | Safari Niagara CLOSED – How are they holding up? Tim talks to Tim Tykolis, General Manager of Safari Niagara. Group_Element_Footer_Newstalk610 Contact Us Logo News Shows Contests Audio Events Features Contact Information 12 Yates Street St. Catharines ON L2R 5R2 Phones RECEPTION (905) 684-1174 NEWSROOM (905) 684-0480 CONTEST / TALK LINE (905) 688-2582 Website Facebook Twitter Instagram 61010 Sms* Drive-through COVID-19 testin… Drive-through COVID-19 testing centre opening in Hamilton Group Footer EN iHeartRadio Facebook Twitter Youtube Instagram iHeartRadio For You My Stations Live Radio Podcasts News Features Events Contests Contact iHeartRadio 299 Queen Street West Toronto ON M5V 2Z5 Phone Websites iHeartRadio Terms and Conditions Contact Us Political Ad Registry Get the apps Google Play Apple Store",0.11068793525315267,0.38419254658385094,Positive,Objective
6691,6823,20200417,iheartradio.ca,https://www.iheartradio.ca/610cktb/news/music/niagara-falls-mayor-comments-on-border-closure-and-tourism-shutdown-1.10955842,text/html,text/html,en,"Niagara Falls Mayor comments on border closure and tourism shutdown iHeartRadio For You My Stations Live Radio Podcasts Artist Radio News Features Events Videos Contests iHeartRadio Contact Us Logo 1°C Facebook Twitter Instagram 61010 Sms* News What's Open BNN BLOOMBERG Shows Contests Audio Events Weather Features Niagara Falls Mayor comments on border closure and tourism shutdown Tami Jeanneret iStock/rmbarricarte It's going to be big. That from Niagara Falls Mayor Jim Diodati, who in a media interview yesterday, admitted the closure of the border and the shuttering of casinos and tourist attractions is causing the city to hemorrhage. Diodati tells CKTB's Shelby Knox this morning, Niagara Falls is working with the Ontario Tourism for a grand re-opening of the city, the likes of which we have never seen before. He says they will be reaching out to the world to attract visitors back to the city As for layed off tourism workers, Diodiati addressing their concerns saying the city will not charge interest or penalties on overdue tax bills, they are looking at ways to defer payments. He adds no one is going to shut off your electricity or your water. The mayor and councillors will meet today at 1:00 to hammer out details of the relief package. Drive-through COVID-19 testing centre opening in Hamilton A COVID-19 drive-through testing centre is opening in Hamilton at the Dave Andreychuk Mountain Arena. Voting opens today to rename Lakeside Park pavilion in Neil Peart's honour Some memories last forever An annual walk is going virtual An annual fundraising walk to benefit ALS research is going virtual as it adapts to the ongoing changes from COVID-19. Latest News Drive-through COVID-19 testing centre opening in Hamilton Voting opens today to rename Lakeside Park pavilion in Neil Peart's honour An annual walk is going virtual Group_Element_Footer_Newstalk610 Contact Us Logo News Shows Contests Audio Events Features Contact Information 12 Yates Street St. Catharines ON L2R 5R2 Phones RECEPTION (905) 684-1174 NEWSROOM (905) 684-0480 CONTEST / TALK LINE (905) 688-2582 Website Facebook Twitter Instagram 61010 Sms* Drive-through COVID-19 testin… Drive-through COVID-19 testing centre opening in Hamilton Group Footer EN iHeartRadio Facebook Twitter Youtube Instagram iHeartRadio For You My Stations Live Radio Podcasts News Features Events Contests Contact iHeartRadio 299 Queen Street West Toronto ON M5V 2Z5 Phone Websites iHeartRadio Terms and Conditions Contact Us Political Ad Registry Get the apps Google Play Apple Store",0.14141414141414138,0.40740740740740744,Positive,Objective
