,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
16747,18153,20200504,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
47849,59289,20200522,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
48432,59927,20200529,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
48838,60369,20200522,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
64448,79404,20200605,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
74019,90222,20200612,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
84619,101450,20200619,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
93195,111305,20200626,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
102266,121587,20200703,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
111963,131859,20200710,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
121176,142346,20200717,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
130440,152791,20200724,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
139889,163670,20200731,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
149349,174755,20200807,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
158578,185676,20200814,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
169713,198545,20200821,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/?language=en&utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
334158,386340,20201211,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/list-liste?language=en_CA&token=a0B0b00000OGBoqEAH,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
342074,395444,20201218,innovation.ised-isde.canada.ca,https://innovation.ised-isde.canada.ca/s/list-liste?language=en_CA&token=a0B0b00000OGBoqEAH,text/html,text/html,en,Innovation Canada Loading ×Sorry to interrupt CSS Error Refresh,0.0,0.0,Neutral,Objective
