,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
113914,133958,20200710,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
113916,133960,20200710,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
123071,144416,20200717,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
123073,144419,20200717,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
132439,154931,20200724,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
132440,154932,20200724,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
141922,165855,20200731,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
141929,165864,20200731,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
151139,176781,20200807,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
151143,176785,20200807,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
160369,187714,20200814,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
160373,187719,20200814,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
171571,200534,20200821,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
171572,200535,20200821,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
181736,212448,20200828,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
181739,212451,20200828,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
192656,224670,20200904,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
192672,224688,20200904,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
204660,238130,20200911,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
204665,238140,20200911,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
225198,261715,20200925,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
225201,261719,20200925,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
235408,272729,20201002,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
235409,272730,20201002,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
246264,285106,20201009,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
246266,285108,20201009,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
256443,296918,20201016,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
256445,296921,20201016,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
266412,308583,20201023,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
266413,308584,20201023,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
277028,320767,20201030,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
277030,320769,20201030,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
286530,331839,20201106,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
286533,331842,20201106,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
296651,343585,20201113,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
296652,343586,20201113,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
305771,354243,20201120,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
305775,354247,20201120,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
316165,365938,20201127,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
316167,365940,20201127,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
326213,377198,20201204,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
326215,377201,20201204,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
334972,387181,20201211,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
334974,387183,20201211,internalfb.com,https://www.internalfb.com/intern/login/?next=https%3A%2F%2Fwww.internalfb.com%2Fintern%2Finvariant%2F&_fb_noscript=1,text/html,text/html,en,Intern Login Jump to Sections of this page Other pages on Intern Press alt + / to open this menu,-0.0625,0.4375,Negative,Objective
