,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
6489,6618,20200417,jsdelivr.com,https://www.jsdelivr.com/,text/html,text/html,en,"jsDelivr - A free, fast, and reliable Open Source CDN for npm & GitHub Toggle navigation Features Network Stats Sponsors Tools Debug tool Purge cache Blog Newsletter jsDelivr – Open Source CDN free, fast, and reliable serving ~ 40 billion requests / month // load any project hosted on npm https://cdn.jsdelivr.net/npm/package@version/file // load jQuery v3.2.1 https://cdn.jsdelivr.net/npm/jquery@3.2.1/dist/jquery.min.js // use a version range instead of a specific version https://cdn.jsdelivr.net/npm/jquery@3.2/dist/jquery.min.js https://cdn.jsdelivr.net/npm/jquery@3/dist/jquery.min.js // omit the version completely to get the latest one // you should NOT use this in production https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js // add "".min"" to any JS/CSS file to get a minified version // if one doesn't exist, we'll generate it for you https://cdn.jsdelivr.net/npm/jquery@3.2.1/src/core.min.js // omit the file path to get the default file https://cdn.jsdelivr.net/npm/jquery@3.2 // add / at the end to get a directory listing https://cdn.jsdelivr.net/npm/jquery/ jsDelivr operates thanks to our main sponsors: Real-time search by See exactly how jsDelivr works CHECK OUR INFOGRAPHIC Built for production four CDN & two DNS providers more than 750 points of presence RUM based load balancing faster than any other CDN failover on every layer works in China 0 requests served since you opened this page See more stats Top 10 npm packages last 30 days Developer Friendly all files from npm and GitHub available with zero setup combine multiple files on-demand minify files on-demand source map support version aliasing usage statistics API jsDelivr uses Real User Metrics (RUM) to accurately load-balance traffic between multiple CDN providers We're checking the best provider fit for you jsDelivr is used by Designed, developed, and maintained by: and Dmitriy Akulov Awesome companies help jsDelivr... Our sponsors © jsdelivr.com, 2012 - 2020 About Privacy Policy dak@prospectone.io",0.2839506172839506,0.43641975308641984,Positive,Objective
16673,18069,20200504,jsdelivr.com,https://www.jsdelivr.com/,text/html,text/html,en,"jsDelivr - A free, fast, and reliable Open Source CDN for npm & GitHub Toggle navigation Features Network Stats Sponsors Tools Debug tool Purge cache Blog Newsletter jsDelivr – Open Source CDN free, fast, and reliable serving ~ 40 billion requests / month // load any project hosted on npm https://cdn.jsdelivr.net/npm/package@version/file // load jQuery v3.2.1 https://cdn.jsdelivr.net/npm/jquery@3.2.1/dist/jquery.min.js // use a version range instead of a specific version https://cdn.jsdelivr.net/npm/jquery@3.2/dist/jquery.min.js https://cdn.jsdelivr.net/npm/jquery@3/dist/jquery.min.js // omit the version completely to get the latest one // you should NOT use this in production https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js // add "".min"" to any JS/CSS file to get a minified version // if one doesn't exist, we'll generate it for you https://cdn.jsdelivr.net/npm/jquery@3.2.1/src/core.min.js // omit the file path to get the default file https://cdn.jsdelivr.net/npm/jquery@3.2 // add / at the end to get a directory listing https://cdn.jsdelivr.net/npm/jquery/ jsDelivr operates thanks to our main sponsors: Real-time search by See exactly how jsDelivr works CHECK OUR INFOGRAPHIC Built for production four CDN & two DNS providers more than 750 points of presence RUM based load balancing faster than any other CDN failover on every layer works in China 0 requests served since you opened this page See more stats Top 10 npm packages last 30 days Developer Friendly all files from npm and GitHub available with zero setup combine multiple files on-demand minify files on-demand source map support version aliasing usage statistics API jsDelivr is used by Designed, developed, and maintained by: and Dmitriy Akulov Awesome companies help jsDelivr... Our sponsors © jsdelivr.com, 2012 - 2020 About Privacy Policy dak@prospectone.io",0.25757575757575757,0.46136363636363636,Positive,Objective
48753,60274,20200522,jsdelivr.com,https://www.jsdelivr.com/,text/html,text/html,en,"jsDelivr - A free, fast, and reliable CDN for open source Toggle navigation Features Network Stats Sponsors Tools Debug tool Purge cache Blog Newsletter A free CDN for Open Source fast, reliable, and automated serving ~ 80 billion requests / month // load any project hosted on npm https://cdn.jsdelivr.net/npm/package@version/file // load jQuery v3.2.1 https://cdn.jsdelivr.net/npm/jquery@3.2.1/dist/jquery.min.js // use a version range instead of a specific version https://cdn.jsdelivr.net/npm/jquery@3.2/dist/jquery.min.js https://cdn.jsdelivr.net/npm/jquery@3/dist/jquery.min.js // omit the version completely to get the latest one // you should NOT use this in production https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js // add "".min"" to any JS/CSS file to get a minified version // if one doesn't exist, we'll generate it for you https://cdn.jsdelivr.net/npm/jquery@3.2.1/src/core.min.js // omit the file path to get the default file https://cdn.jsdelivr.net/npm/jquery@3.2 // add / at the end to get a directory listing https://cdn.jsdelivr.net/npm/jquery/ jsDelivr operates thanks to our main sponsors: Real-time search by See exactly how jsDelivr works CHECK OUR INFOGRAPHIC Built for production four CDN & two DNS providers more than 750 points of presence RUM based load balancing faster than any other CDN failover on every layer works in China 0 requests served since you opened this page See more stats Top 10 npm packages last 30 days Developer Friendly all files from npm and GitHub available with zero setup combine multiple files on-demand minify files on-demand source map support version aliasing usage statistics API jsDelivr is used by Designed, developed, and maintained by: and Dmitriy Akulov Awesome companies help jsDelivr... Our sponsors © jsdelivr.com, 2012 - 2020 About Privacy Policy dak@prospectone.io",0.25757575757575757,0.46136363636363636,Positive,Objective
56835,70088,20200529,jsdelivr.com,https://www.jsdelivr.com/,text/html,text/html,en,"jsDelivr - A free, fast, and reliable CDN for open source Toggle navigation Features Network Stats Sponsors Tools Debug tool Purge cache Blog Newsletter A free CDN for Open Source fast, reliable, and automated serving ~ 80 billion requests / month // load any project hosted on npm https://cdn.jsdelivr.net/npm/package@version/file // load jQuery v3.2.1 https://cdn.jsdelivr.net/npm/jquery@3.2.1/dist/jquery.min.js // use a version range instead of a specific version https://cdn.jsdelivr.net/npm/jquery@3.2/dist/jquery.min.js https://cdn.jsdelivr.net/npm/jquery@3/dist/jquery.min.js // omit the version completely to get the latest one // you should NOT use this in production https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js // add "".min"" to any JS/CSS file to get a minified version // if one doesn't exist, we'll generate it for you https://cdn.jsdelivr.net/npm/jquery@3.2.1/src/core.min.js // omit the file path to get the default file https://cdn.jsdelivr.net/npm/jquery@3.2 // add / at the end to get a directory listing https://cdn.jsdelivr.net/npm/jquery/ jsDelivr operates thanks to our main sponsors: Real-time search by See exactly how jsDelivr works CHECK OUR INFOGRAPHIC Built for production four CDN & two DNS providers more than 750 points of presence RUM based load balancing faster than any other CDN failover on every layer works in China 0 requests served since you opened this page See more stats Top 10 npm packages last 30 days Developer Friendly all files from npm and GitHub available with zero setup combine multiple files on-demand minify files on-demand source map support version aliasing usage statistics API jsDelivr is used by Designed, developed, and maintained by: and Dmitriy Akulov Awesome companies help jsDelivr... Our sponsors © jsdelivr.com, 2012 - 2020 About Privacy Policy dak@prospectone.io",0.25757575757575757,0.46136363636363636,Positive,Objective
65219,80246,20200605,jsdelivr.com,https://www.jsdelivr.com/,text/html,text/html,en,"jsDelivr - A free, fast, and reliable CDN for open source Toggle navigation Features Network Stats Sponsors Tools Debug tool Purge cache Blog Newsletter A free CDN for Open Source fast, reliable, and automated serving ~ 80 billion requests / month // load any project hosted on npm https://cdn.jsdelivr.net/npm/package@version/file // load jQuery v3.2.1 https://cdn.jsdelivr.net/npm/jquery@3.2.1/dist/jquery.min.js // use a version range instead of a specific version https://cdn.jsdelivr.net/npm/jquery@3.2/dist/jquery.min.js https://cdn.jsdelivr.net/npm/jquery@3/dist/jquery.min.js // omit the version completely to get the latest one // you should NOT use this in production https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js // add "".min"" to any JS/CSS file to get a minified version // if one doesn't exist, we'll generate it for you https://cdn.jsdelivr.net/npm/jquery@3.2.1/src/core.min.js // omit the file path to get the default file https://cdn.jsdelivr.net/npm/jquery@3.2 // add / at the end to get a directory listing https://cdn.jsdelivr.net/npm/jquery/ jsDelivr operates thanks to our main sponsors: Real-time search by See exactly how jsDelivr works CHECK OUR INFOGRAPHIC Built for production four CDN & two DNS providers more than 750 points of presence RUM based load balancing faster than any other CDN failover on every layer works in China 0 requests served since you opened this page See more stats Top 10 npm packages last 30 days Developer Friendly all files from npm and GitHub available with zero setup combine multiple files on-demand minify files on-demand source map support version aliasing usage statistics API jsDelivr is used by Designed, developed, and maintained by: and Dmitriy Akulov Awesome companies help jsDelivr... Our sponsors © jsdelivr.com, 2012 - 2020 About Privacy Policy dak@prospectone.io",0.25757575757575757,0.46136363636363636,Positive,Objective
114759,134935,20200710,jsdelivr.com,https://www.jsdelivr.com/,text/html,text/html,en,"jsDelivr - A free, fast, and reliable CDN for open source Toggle navigation Features Network Stats Sponsors Tools Debug tool Purge cache Blog Newsletter A free CDN for Open Source fast, reliable, and automated serving ~ 80 billion requests / month // load any project hosted on npm https://cdn.jsdelivr.net/npm/package@version/file // load jQuery v3.2.1 https://cdn.jsdelivr.net/npm/jquery@3.2.1/dist/jquery.min.js // use a version range instead of a specific version https://cdn.jsdelivr.net/npm/jquery@3.2/dist/jquery.min.js https://cdn.jsdelivr.net/npm/jquery@3/dist/jquery.min.js // omit the version completely to get the latest one // you should NOT use this in production https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js // add "".min"" to any JS/CSS file to get a minified version // if one doesn't exist, we'll generate it for you https://cdn.jsdelivr.net/npm/jquery@3.2.1/src/core.min.js // omit the file path to get the default file https://cdn.jsdelivr.net/npm/jquery@3.2 // add / at the end to get a directory listing https://cdn.jsdelivr.net/npm/jquery/ jsDelivr operates thanks to our main sponsors: Real-time search by See exactly how jsDelivr works CHECK OUR INFOGRAPHIC Built for production four CDN & two DNS providers more than 750 points of presence RUM based load balancing faster than any other CDN failover on every layer works in China 0 requests served since you opened this page See more stats Top 10 npm packages last 30 days Developer Friendly all files from npm and GitHub available with zero setup combine multiple files on-demand minify files on-demand source map support version aliasing usage statistics API jsDelivr is used by Designed, developed, and maintained by: and Dmitriy Akulov Awesome companies help jsDelivr... Our sponsors © jsdelivr.com, 2012 - 2020 About Privacy Policy dak@prospectone.io",0.25757575757575757,0.46136363636363636,Positive,Objective
121509,142703,20200717,jsdelivr.com,https://www.jsdelivr.com/,text/html,text/html,en,"jsDelivr - A free, fast, and reliable CDN for open source Toggle navigation Features Network Stats Sponsors Tools Debug tool Purge cache Blog Newsletter A free CDN for Open Source fast, reliable, and automated serving ~ 80 billion requests / month // load any project hosted on npm https://cdn.jsdelivr.net/npm/package@version/file // load jQuery v3.2.1 https://cdn.jsdelivr.net/npm/jquery@3.2.1/dist/jquery.min.js // use a version range instead of a specific version https://cdn.jsdelivr.net/npm/jquery@3.2/dist/jquery.min.js https://cdn.jsdelivr.net/npm/jquery@3/dist/jquery.min.js // omit the version completely to get the latest one // you should NOT use this in production https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js // add "".min"" to any JS/CSS file to get a minified version // if one doesn't exist, we'll generate it for you https://cdn.jsdelivr.net/npm/jquery@3.2.1/src/core.min.js // omit the file path to get the default file https://cdn.jsdelivr.net/npm/jquery@3.2 // add / at the end to get a directory listing https://cdn.jsdelivr.net/npm/jquery/ jsDelivr operates thanks to our main sponsors: Real-time search by See exactly how jsDelivr works CHECK OUR INFOGRAPHIC Built for production four CDN & two DNS providers more than 750 points of presence RUM based load balancing faster than any other CDN failover on every layer works in China 0 requests served since you opened this page See more stats Top 10 npm packages last 30 days Developer Friendly all files from npm and GitHub available with zero setup combine multiple files on-demand minify files on-demand source map support version aliasing usage statistics API jsDelivr is used by Designed, developed, and maintained by: and Dmitriy Akulov Awesome companies help jsDelivr... Our sponsors © jsdelivr.com, 2012 - 2020 About Privacy Policy dak@prospectone.io",0.25757575757575757,0.46136363636363636,Positive,Objective
130803,153182,20200724,jsdelivr.com,https://www.jsdelivr.com/,text/html,text/html,en,"jsDelivr - A free, fast, and reliable CDN for open source Toggle navigation Features Network Stats Sponsors Tools Debug tool Purge cache Blog Newsletter A free CDN for Open Source fast, reliable, and automated serving ~ 80 billion requests / month // load any project hosted on npm https://cdn.jsdelivr.net/npm/package@version/file // load jQuery v3.2.1 https://cdn.jsdelivr.net/npm/jquery@3.2.1/dist/jquery.min.js // use a version range instead of a specific version https://cdn.jsdelivr.net/npm/jquery@3.2/dist/jquery.min.js https://cdn.jsdelivr.net/npm/jquery@3/dist/jquery.min.js // omit the version completely to get the latest one // you should NOT use this in production https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js // add "".min"" to any JS/CSS file to get a minified version // if one doesn't exist, we'll generate it for you https://cdn.jsdelivr.net/npm/jquery@3.2.1/src/core.min.js // omit the file path to get the default file https://cdn.jsdelivr.net/npm/jquery@3.2 // add / at the end to get a directory listing https://cdn.jsdelivr.net/npm/jquery/ jsDelivr operates thanks to our main sponsors: Real-time search by See exactly how jsDelivr works CHECK OUR INFOGRAPHIC Built for production four CDN & two DNS providers more than 750 points of presence RUM based load balancing faster than any other CDN failover on every layer works in China 0 requests served since you opened this page See more stats Top 10 npm packages last 30 days Developer Friendly all files from npm and GitHub available with zero setup combine multiple files on-demand minify files on-demand source map support version aliasing usage statistics API jsDelivr is used by Designed, developed, and maintained by: and Dmitriy Akulov Awesome companies help jsDelivr... Our sponsors © jsdelivr.com, 2012 - 2020 About Privacy Policy dak@prospectone.io",0.25757575757575757,0.46136363636363636,Positive,Objective
140204,164007,20200731,jsdelivr.com,https://www.jsdelivr.com/,text/html,text/html,en,"jsDelivr - A free, fast, and reliable CDN for open source Toggle navigation Features Network Stats Sponsors Tools Debug tool Purge cache Blog Newsletter A free CDN for Open Source fast, reliable, and automated serving ~ 80 billion requests / month // load any project hosted on npm https://cdn.jsdelivr.net/npm/package@version/file // load jQuery v3.2.1 https://cdn.jsdelivr.net/npm/jquery@3.2.1/dist/jquery.min.js // use a version range instead of a specific version https://cdn.jsdelivr.net/npm/jquery@3.2/dist/jquery.min.js https://cdn.jsdelivr.net/npm/jquery@3/dist/jquery.min.js // omit the version completely to get the latest one // you should NOT use this in production https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js // add "".min"" to any JS/CSS file to get a minified version // if one doesn't exist, we'll generate it for you https://cdn.jsdelivr.net/npm/jquery@3.2.1/src/core.min.js // omit the file path to get the default file https://cdn.jsdelivr.net/npm/jquery@3.2 // add / at the end to get a directory listing https://cdn.jsdelivr.net/npm/jquery/ jsDelivr operates thanks to our main sponsors: Real-time search by See exactly how jsDelivr works CHECK OUR INFOGRAPHIC Built for production four CDN & two DNS providers more than 750 points of presence RUM based load balancing faster than any other CDN failover on every layer works in China 0 requests served since you opened this page See more stats Top 10 npm packages last 30 days Developer Friendly all files from npm and GitHub available with zero setup combine multiple files on-demand minify files on-demand source map support version aliasing usage statistics API jsDelivr is used by Designed, developed, and maintained by: and Dmitriy Akulov Awesome companies help jsDelivr... Our sponsors © jsdelivr.com, 2012 - 2020 About Privacy Policy dak@prospectone.io",0.25757575757575757,0.46136363636363636,Positive,Objective
149663,175094,20200807,jsdelivr.com,https://www.jsdelivr.com/,text/html,text/html,en,"jsDelivr - A free, fast, and reliable CDN for open source Toggle navigation Features Network Stats Sponsors Tools Debug tool Purge cache Blog Newsletter A free CDN for Open Source fast, reliable, and automated serving ~ 80 billion requests / month // load any project hosted on npm https://cdn.jsdelivr.net/npm/package@version/file // load jQuery v3.2.1 https://cdn.jsdelivr.net/npm/jquery@3.2.1/dist/jquery.min.js // use a version range instead of a specific version https://cdn.jsdelivr.net/npm/jquery@3.2/dist/jquery.min.js https://cdn.jsdelivr.net/npm/jquery@3/dist/jquery.min.js // omit the version completely to get the latest one // you should NOT use this in production https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js // add "".min"" to any JS/CSS file to get a minified version // if one doesn't exist, we'll generate it for you https://cdn.jsdelivr.net/npm/jquery@3.2.1/src/core.min.js // omit the file path to get the default file https://cdn.jsdelivr.net/npm/jquery@3.2 // add / at the end to get a directory listing https://cdn.jsdelivr.net/npm/jquery/ jsDelivr operates thanks to our main sponsors: Real-time search by See exactly how jsDelivr works CHECK OUR INFOGRAPHIC Built for production four CDN & two DNS providers more than 750 points of presence RUM based load balancing faster than any other CDN failover on every layer works in China 0 requests served since you opened this page See more stats Top 10 npm packages last 30 days Developer Friendly all files from npm and GitHub available with zero setup combine multiple files on-demand minify files on-demand source map support version aliasing usage statistics API jsDelivr is used by Designed, developed, and maintained by: and Dmitriy Akulov Awesome companies help jsDelivr... Our sponsors © jsdelivr.com, 2012 - 2020 About Privacy Policy dak@prospectone.io",0.25757575757575757,0.46136363636363636,Positive,Objective
