,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
26729,31985,20210205,m.youtube.com,https://m.youtube.com/channel/UCcAzUYgemMC1igVHQwyw4uA,text/html,text/html,en,YouTube St. Catharines Standard - YouTube,0.0,0.0,Neutral,Objective
202703,236084,20200914,m.youtube.com,https://m.youtube.com/watch?v=nfrniGI3xQM,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
213373,248355,20200921,m.youtube.com,https://m.youtube.com/watch?v=Oz-7XhOu1OA,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
233440,270722,20201005,m.youtube.com,https://m.youtube.com/watch?v=RLA_a2qNfYs,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
243622,282378,20201011,m.youtube.com,https://m.youtube.com/watch?v=aOeOMHQP-Bg,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
244203,282976,20201012,m.youtube.com,https://m.youtube.com/watch?v=oMTmMzljfoc,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
254438,294868,20201019,m.youtube.com,https://m.youtube.com/watch?v=GRulPasCJ14,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
273975,317549,20201031,m.youtube.com,https://m.youtube.com/watch?v=-XEI6RdyO20,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
274654,318348,20201030,m.youtube.com,https://m.youtube.com/watch?v=B0-pKtmWhNk,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
277418,321178,20201031,m.youtube.com,https://m.youtube.com/watch?v=ASqw66QPhhM&list=PLtT63gh7tNlAhuj_kob_FeigZAoTAXKJ0&index=26,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
277650,321412,20201031,m.youtube.com,https://m.youtube.com/watch?v=1snRp1daA3A,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
282864,327968,20201108,m.youtube.com,https://m.youtube.com/watch?v=9-9-zufQs80,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
283161,328290,20201106,m.youtube.com,https://m.youtube.com/watch?v=yNP2WRnjNOY,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
284482,329679,20201107,m.youtube.com,https://m.youtube.com/watch?v=ZyetqMr3bfg,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
285192,330440,20201108,m.youtube.com,https://m.youtube.com/playlist?list=PLt1ZEcybbg8uX22tIOXnYiT7dv7ize_5A,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
285248,330496,20201108,m.youtube.com,https://m.youtube.com/c/Claimwizard,text/html,text/html,en,YouTube ClaimWizard - YouTube,0.0,0.0,Neutral,Objective
285333,330582,20201108,m.youtube.com,https://m.youtube.com/watch?v=pZ--w0E2DEc,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
285340,330590,20201108,m.youtube.com,https://m.youtube.com/watch?v=idBiMRsdITk,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
285394,330646,20201108,m.youtube.com,https://m.youtube.com/watch?v=rDhmhWKjhSA,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
285508,330764,20201108,m.youtube.com,https://m.youtube.com/watch?v=zJitOscOB4c,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
285549,330805,20201108,m.youtube.com,https://m.youtube.com/c/HillhurstUnitedChurch,text/html,text/html,en,YouTube Hillhurst United Church - YouTube,0.0,0.0,Neutral,Objective
285635,330893,20201108,m.youtube.com,https://m.youtube.com/c/DanCroitor,text/html,text/html,en,YouTube Dan Croitor - YouTube,0.0,0.0,Neutral,Objective
285736,330998,20201109,m.youtube.com,https://m.youtube.com/watch?v=GFxJmr1URiU,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
285786,331049,20201109,m.youtube.com,https://m.youtube.com/watch?v=AoLqAz6kmkk,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
285867,331133,20201109,m.youtube.com,https://m.youtube.com/watch?v=gKDglReAbdg,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
286497,331787,20201106,m.youtube.com,https://m.youtube.com/channel/UCrvqj9XJGX3A5WNr7iollYQ,text/html,text/html,en,YouTube Greater Niagara Chamber of Commerce - YouTube,0.5,0.5,Positive,Neutral
286954,332339,20201107,m.youtube.com,https://m.youtube.com/watch?v=l69sYzldWsM,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
287068,332455,20201107,m.youtube.com,https://m.youtube.com/watch?v=EkZuVHw8FXc,text/html,text/html,ht,YouTube,0.0,0.0,Neutral,Objective
293703,340467,20201114,m.youtube.com,https://m.youtube.com/user/cityofportcolborne/discussion,text/html,text/html,en,YouTube City of Port Colborne - YouTube,0.0,0.0,Neutral,Objective
293735,340499,20201114,m.youtube.com,https://m.youtube.com/user/cityofportcolborne/channels?view_as=subscriber,text/html,text/html,en,YouTube City of Port Colborne - YouTube,0.0,0.0,Neutral,Objective
