,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
2315,2355,20200408,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
12551,13011,20200424,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
40617,51597,20200523,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
45196,56262,20200530,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
67271,82569,20200605,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
75697,91984,20200612,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
86285,103278,20200619,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
87661,105587,20200626,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
104169,123634,20200703,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
114721,134895,20200710,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
123075,144422,20200717,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
132398,154879,20200724,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
151089,176715,20200807,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
171515,200461,20200821,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
192711,224737,20200904,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
214362,249366,20200918,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome",-0.5,1.0,Negative,Subjective
