,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
253783,294181,20201016,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
264045,306128,20201023,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
274518,318197,20201030,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
284691,329920,20201106,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
294084,340942,20201113,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
298336,346607,20201120,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
313552,363249,20201127,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
326262,377264,20201204,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
334963,387171,20201211,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
341320,394659,20201218,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
349024,403946,20201225,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
357879,414549,20210101,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
365390,423689,20210108,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
366918,426509,20210115,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
374794,435944,20210122,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
387211,450130,20210129,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
395690,460251,20210205,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
406462,472713,20210212,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
415207,482858,20210219,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
431981,501006,20210305,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
441384,511493,20210312,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
450630,521561,20210319,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
459218,531691,20210326,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
461512,535541,20210402,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
475651,551526,20210409,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
484710,562032,20210416,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
495336,574346,20210423,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
496854,577287,20210430,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
510508,592922,20210507,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
519525,603726,20210514,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
528149,613956,20210521,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
545785,634939,20210604,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
554926,645566,20210611,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
563993,656324,20210618,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
568182,662201,20210625,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
574865,671791,20210702,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
576512,673920,20210709,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
580767,679872,20210716,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
585114,686037,20210723,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
589089,691780,20210730,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
591730,695949,20210806,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
598434,704789,20210813,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
601756,709849,20210820,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
605419,715038,20210827,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
611254,722917,20210903,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
614019,727107,20210910,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
619406,734326,20210917,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
624882,741498,20210924,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
627479,745844,20211001,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
630403,750289,20211008,tagassistant.google.com,https://tagassistant.google.com/,text/html,text/html,tl,Google Tag Assistant,0.0,0.0,Neutral,Objective
