,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
7893,8046,20200417,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
13274,13817,20200424,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
20091,22370,20200515,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
51269,62963,20200522,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
51768,63497,20200529,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
66583,81715,20200605,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
75728,92035,20200612,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
86271,103263,20200619,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
94999,113231,20200626,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
104241,123734,20200703,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
113901,133937,20200710,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
123084,144437,20200717,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
132436,154928,20200724,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
141890,165795,20200731,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
151146,176790,20200807,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
160363,187708,20200814,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
171576,200541,20200821,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
181732,212443,20200828,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
192669,224685,20200904,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
204664,238139,20200911,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
225194,261711,20200925,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
235407,272728,20201002,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
246254,285091,20201009,tatacliq.com,https://www.tatacliq.com/,text/html,text/html,en,You need to enable JavaScript to run this app. Tata CLiQ Luxury Track Orders Help Gift Card Cliq Cash,0.0,0.0,Neutral,Objective
