,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
8313,8472,20200417,thepencentre.com,https://www.thepencentre.com/pages/thepencentre-covid-19-updates/,text/html,text/html,en,"MENU STORES Directory Restaurants Centre Map What's New SPECIAL OFFERS Promotions Events GUEST SERVICES Community Accessibility Mall Walk PLAN YOUR VISIT Directions Tourist Info CONTACT US Shopping Hours Contact Us Jobs Leasing Security Donation/Sponsorship Today's Hours: Check for Holiday Hours Today's Hours: Check for Holiday Hours explore • enjoy • shop Directory Dining Centre Map What's New TAP FOR MORE OPTIONS Stores Dining What's New SIGN UP TO RECEIVE OUR UPDATES • Fashion • Events • Sales Sign Up SOCIAL Follow us on social for activities and news Facebook Twitter Instagram SITE MAP Directory Centre Map The Latest Promotions Events Guest Services Shopping Hours Contact Us Jobs © - THE PEN CENTRE 221 Glendale Ave, St. Catharines, ON L2T 2K9 Administration: 905.687.6622 Powered by Mall Maverick Hi, this is Pen Centre Guest Services. How can we help?",0.23329004329004333,0.3968398268398269,Positive,Objective
8314,8473,20200417,thepencentre.com,https://www.thepencentre.com/pages/thepencentre-covid-19-updates/,text/html,text/html,en,"MENU STORES Directory Restaurants Centre Map What's New SPECIAL OFFERS Promotions Events GUEST SERVICES Community Accessibility Mall Walk PLAN YOUR VISIT Directions Tourist Info CONTACT US Shopping Hours Contact Us Jobs Leasing Security Donation/Sponsorship Today's Hours: Check for Holiday Hours Today's Hours: Check for Holiday Hours explore • enjoy • shop Directory Dining Centre Map What's New TAP FOR MORE OPTIONS Stores Dining What's New SIGN UP TO RECEIVE OUR UPDATES • Fashion • Events • Sales Sign Up SOCIAL Follow us on social for activities and news Facebook Twitter Instagram SITE MAP Directory Centre Map The Latest Promotions Events Guest Services Shopping Hours Contact Us Jobs © - THE PEN CENTRE 221 Glendale Ave, St. Catharines, ON L2T 2K9 Administration: 905.687.6622 Powered by Mall Maverick Hi, this is Pen Centre Guest Services. How can we help?",0.23329004329004333,0.3968398268398269,Positive,Objective
8317,8476,20200417,thepencentre.com,https://www.thepencentre.com/,text/html,text/html,en,"Niagara's Largest Shopping Centre, Over 180 Stores | The Pen Centre MENU STORES Directory Restaurants Centre Map What's New SPECIAL OFFERS Promotions Events GUEST SERVICES Community Accessibility Mall Walk PLAN YOUR VISIT Directions Tourist Info CONTACT US Shopping Hours Contact Us Jobs Leasing Security Donation/Sponsorship Today's Hours: Check for Holiday Hours Today's Hours: Check for Holiday Hours See More Hours SIGN UP TO RECEIVE OUR UPDATES • Fashion • Events • Sales Sign Up SOCIAL Follow us on social for activities and news Facebook Twitter Instagram SITE MAP Directory Centre Map The Latest Promotions Events Guest Services Shopping Hours Contact Us Jobs © - THE PEN CENTRE 221 Glendale Ave, St. Catharines, ON L2T 2K9 Administration: 905.687.6622 Powered by Mall Maverick Hi, this is Pen Centre Guest Services. How can we help?",0.23716759431045148,0.3656153370439085,Positive,Objective
9159,9449,20200417,thepencentre.com,https://www.thepencentre.com/pages/thepencentre-covid-19-updates,text/html,text/html,en,"The Pen Centre - COVID-19 UPDATES MENU STORES Directory Restaurants Centre Map What's New SPECIAL OFFERS Promotions Events GUEST SERVICES Community Accessibility Mall Walk PLAN YOUR VISIT Directions Tourist Info CONTACT US Shopping Hours Contact Us Jobs Leasing Security Donation/Sponsorship Today's Hours: Check for Holiday Hours Today's Hours: Check for Holiday Hours explore • enjoy • shop Directory Dining Centre Map What's New TAP FOR MORE OPTIONS Stores Dining What's New SIGN UP TO RECEIVE OUR UPDATES • Fashion • Events • Sales Sign Up SOCIAL Follow us on social for activities and news Facebook Twitter Instagram SITE MAP Directory Centre Map The Latest Promotions Events Guest Services Shopping Hours Contact Us Jobs © - THE PEN CENTRE 221 Glendale Ave, St. Catharines, ON L2T 2K9 Administration: 905.687.6622 Powered by Mall Maverick Hi, this is Pen Centre Guest Services. How can we help?",0.23329004329004333,0.3968398268398269,Positive,Objective
9160,9450,20200417,thepencentre.com,https://www.thepencentre.com/pages/thepencentre-covid-19-updates,text/html,text/html,en,"The Pen Centre - COVID-19 UPDATES MENU STORES Directory Restaurants Centre Map What's New SPECIAL OFFERS Promotions Events GUEST SERVICES Community Accessibility Mall Walk PLAN YOUR VISIT Directions Tourist Info CONTACT US Shopping Hours Contact Us Jobs Leasing Security Donation/Sponsorship Today's Hours: Check for Holiday Hours Today's Hours: Check for Holiday Hours explore • enjoy • shop Directory Dining Centre Map What's New TAP FOR MORE OPTIONS Stores Dining What's New SIGN UP TO RECEIVE OUR UPDATES • Fashion • Events • Sales Sign Up SOCIAL Follow us on social for activities and news Facebook Twitter Instagram SITE MAP Directory Centre Map The Latest Promotions Events Guest Services Shopping Hours Contact Us Jobs © - THE PEN CENTRE 221 Glendale Ave, St. Catharines, ON L2T 2K9 Administration: 905.687.6622 Powered by Mall Maverick Hi, this is Pen Centre Guest Services. How can we help?",0.23329004329004333,0.3968398268398269,Positive,Objective
9161,9451,20200417,thepencentre.com,https://www.thepencentre.com/pages/navigator.sendBeacon,text/html,text/html,en,"MENU STORES Directory Restaurants Centre Map What's New SPECIAL OFFERS Promotions Events GUEST SERVICES Community Accessibility Mall Walk PLAN YOUR VISIT Directions Tourist Info CONTACT US Shopping Hours Contact Us Jobs Leasing Security Donation/Sponsorship Today's Hours: Check for Holiday Hours Today's Hours: Check for Holiday Hours explore • enjoy • shop Directory Dining Centre Map What's New TAP FOR MORE OPTIONS Stores Dining What's New SIGN UP TO RECEIVE OUR UPDATES • Fashion • Events • Sales Sign Up SOCIAL Follow us on social for activities and news Facebook Twitter Instagram SITE MAP Directory Centre Map The Latest Promotions Events Guest Services Shopping Hours Contact Us Jobs © - THE PEN CENTRE 221 Glendale Ave, St. Catharines, ON L2T 2K9 Administration: 905.687.6622 Powered by Mall Maverick Hi, this is Pen Centre Guest Services. How can we help?",0.23329004329004333,0.3968398268398269,Positive,Objective
13393,14012,20200424,thepencentre.com,https://www.thepencentre.com/pages/thepencentre-covid-19-updates/,text/html,text/html,en,"MENU STORES Directory Restaurants Centre Map What's New SPECIAL OFFERS Promotions Events GUEST SERVICES Community Accessibility Mall Walk PLAN YOUR VISIT Directions Tourist Info CONTACT US Shopping Hours Contact Us Jobs Leasing Security Donation/Sponsorship Today's Hours: Check for Holiday Hours Today's Hours: Check for Holiday Hours explore • enjoy • shop Directory Dining Centre Map What's New TAP FOR MORE OPTIONS Stores Dining What's New SIGN UP TO RECEIVE OUR UPDATES • Fashion • Events • Sales Sign Up SOCIAL Follow us on social for activities and news Facebook Twitter Instagram SITE MAP Directory Centre Map The Latest Promotions Events Guest Services Shopping Hours Contact Us Jobs © - THE PEN CENTRE 221 Glendale Ave, St. Catharines, ON L2T 2K9 Administration: 905.687.6622 Powered by Mall Maverick Hi, this is Pen Centre Guest Services. How can we help?",0.23329004329004333,0.3968398268398269,Positive,Objective
13396,14015,20200424,thepencentre.com,https://www.thepencentre.com/,text/html,text/html,en,"Niagara's Largest Shopping Centre, Over 180 Stores | The Pen Centre MENU STORES Directory Restaurants Centre Map What's New SPECIAL OFFERS Promotions Events GUEST SERVICES Community Accessibility Mall Walk PLAN YOUR VISIT Directions Tourist Info CONTACT US Shopping Hours Contact Us Jobs Leasing Security Donation/Sponsorship Today's Hours: Check for Holiday Hours Today's Hours: Check for Holiday Hours See More Hours SIGN UP TO RECEIVE OUR UPDATES • Fashion • Events • Sales Sign Up SOCIAL Follow us on social for activities and news Facebook Twitter Instagram SITE MAP Directory Centre Map The Latest Promotions Events Guest Services Shopping Hours Contact Us Jobs © - THE PEN CENTRE 221 Glendale Ave, St. Catharines, ON L2T 2K9 Administration: 905.687.6622 Powered by Mall Maverick Hi, this is Pen Centre Guest Services. How can we help?",0.23716759431045148,0.3656153370439085,Positive,Objective
14193,15011,20200424,thepencentre.com,https://www.thepencentre.com/pages/thepencentre-covid-19-updates,text/html,text/html,en,"The Pen Centre - COVID-19 UPDATES MENU STORES Directory Restaurants Centre Map What's New SPECIAL OFFERS Promotions Events GUEST SERVICES Community Accessibility Mall Walk PLAN YOUR VISIT Directions Tourist Info CONTACT US Shopping Hours Contact Us Jobs Leasing Security Donation/Sponsorship Today's Hours: Check for Holiday Hours Today's Hours: Check for Holiday Hours explore • enjoy • shop Directory Dining Centre Map What's New TAP FOR MORE OPTIONS Stores Dining What's New SIGN UP TO RECEIVE OUR UPDATES • Fashion • Events • Sales Sign Up SOCIAL Follow us on social for activities and news Facebook Twitter Instagram SITE MAP Directory Centre Map The Latest Promotions Events Guest Services Shopping Hours Contact Us Jobs © - THE PEN CENTRE 221 Glendale Ave, St. Catharines, ON L2T 2K9 Administration: 905.687.6622 Powered by Mall Maverick Hi, this is Pen Centre Guest Services. How can we help?",0.23329004329004333,0.3968398268398269,Positive,Objective
20106,22395,20200515,thepencentre.com,https://www.thepencentre.com/pages/thepencentre-covid-19-updates/,text/html,text/html,en,"MENU STORES Directory Restaurants Centre Map What's New SPECIAL OFFERS Promotions Events GUEST SERVICES Community Accessibility Mall Walk PLAN YOUR VISIT Directions Tourist Info CONTACT US Shopping Hours Contact Us Jobs Leasing Security Donation/Sponsorship Today's Hours: Check for Holiday Hours Today's Hours: Check for Holiday Hours explore • enjoy • shop Directory Dining Centre Map What's New TAP FOR MORE OPTIONS Stores Dining What's New SIGN UP TO RECEIVE OUR UPDATES • Fashion • Events • Sales Sign Up SOCIAL Follow us on social for activities and news Facebook Twitter Instagram SITE MAP Directory Centre Map The Latest Promotions Events Guest Services Shopping Hours Contact Us Jobs © - THE PEN CENTRE 221 Glendale Ave, St. Catharines, ON L2T 2K9 Administration: 905.687.6622 Powered by Mall Maverick Hi, this is Pen Centre Guest Services. How can we help?",0.23329004329004333,0.3968398268398269,Positive,Objective
