,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
8818,9053,20200417,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Food Delivery and Takeout | Order Online | Uber Eats Sign In Your favorite food, delivered with Uber Enter delivery address Find Food Order with $0 Delivery Fee To support the community, you get a $0 Delivery Fee on any order from a local restaurant. There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do Not Sell My Info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.3125,0.4875,Positive,Objective
13670,14341,20200424,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Food Delivery and Takeout | Order Online | Uber Eats Sign In Your favorite food, delivered with Uber Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do Not Sell My Info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.35714285714285715,0.5571428571428572,Positive,Subjective
17949,19535,20200504,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Food Delivery and Takeout | Order Online | Uber Eats Sign In Your favorite food, delivered with Uber Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do Not Sell My Info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.35714285714285715,0.5571428571428572,Positive,Subjective
20559,22962,20200515,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Food Delivery and Takeout | Order Online | Uber Eats Sign In Your favorite food, delivered with Uber Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do Not Sell My Info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.35714285714285715,0.5571428571428572,Positive,Subjective
52880,64846,20200529,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Food Delivery and Takeout | Order Online | Uber Eats Sign In Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do Not Sell My Info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.3333333333333333,0.48333333333333334,Positive,Objective
53109,65138,20200522,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Food Delivery and Takeout | Order Online | Uber Eats Sign In Your favorite food, delivered with Uber Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do Not Sell My Info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.35714285714285715,0.5571428571428572,Positive,Subjective
59215,73261,20200529,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Food Delivery and Takeout | Order Online | Uber Eats Sign In Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do Not Sell My Info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.3333333333333333,0.48333333333333334,Positive,Objective
67216,82491,20200605,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Food Delivery and Takeout | Order Online | Uber Eats Sign In Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do Not Sell My Info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.3333333333333333,0.48333333333333334,Positive,Objective
76320,92743,20200612,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Food Delivery and Takeout | Order Online | Uber Eats Sign In Your favorite food, delivered with Uber Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do not sell my info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.35714285714285715,0.5571428571428572,Positive,Subjective
86847,103967,20200619,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Uber Eats | Food Delivery and Takeout - Order Online from Restaurants Near You Sign In Your favorite food, delivered with Uber Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do not sell my info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.325,0.5375,Positive,Subjective
96560,115001,20200626,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Uber Eats | Food Delivery and Takeout - Order Online from Restaurants Near You Sign In Your favorite food, delivered with Uber Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do not sell my info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.325,0.5375,Positive,Subjective
105556,125238,20200703,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Uber Eats | Food Delivery and Takeout - Order Online from Restaurants Near You Sign In Your favorite food, delivered with Uber Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do not sell my info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.325,0.5375,Positive,Subjective
115379,135615,20200710,ubereats.com,https://www.ubereats.com/,text/html,text/html,en,"Uber Eats | Food Delivery and Takeout - Order Online from Restaurants Near You Sign In Your favorite food, delivered with Uber Enter delivery address Find Food There's more to love in the app. iPhone Android Feed your employeesCreate a business account Your restaurant, deliveredAdd your restaurant Deliver the EatsSign up to deliver About Uber EatsRead our blogBuy gift cardsCreate a business accountAdd your restaurantSign up to deliver Get HelpRead FAQsView all citiesView all countriesRestaurants near me English Privacy Policy Terms Pricing Do not sell my info (California) © 2020 Uber Technologies Inc. This website uses third-party cookies in order to serve relevant ads. Learn more by visiting our Cookie Statement, or opt out of third-party cookies using the link below. Opt out Got it",0.325,0.5375,Positive,Subjective
