,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
6500,6630,20200417,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutionsSee ad experiences More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights label Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
12923,13426,20200424,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutionsSee ad experiences More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights Do not sell my info Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
19688,21882,20200515,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutionsSee ad experiences More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights Privacy Dashboard Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
48798,60327,20200522,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutionsSee ad experiences More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights Privacy Dashboard Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
65225,80256,20200605,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutionsSee ad experiences More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights Privacy Dashboard Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
93381,111524,20200626,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutionsSee ad experiences More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights Privacy Dashboard Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
102595,121953,20200703,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutions More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights Privacy Dashboard Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
121558,142765,20200717,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutions More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights Do not sell my info Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
140210,164016,20200731,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutions More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights Do not sell my info Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
169978,198831,20200821,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutions More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights Do not sell my info Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
191130,223046,20200904,verizonmedia.com,https://www.verizonmedia.com/advertising,text/html,text/html,en,"Native, Programmatic, CTV, OOH and Display Advertising | Verizon Media You need to enable JavaScript to run this app. Wireless InHome Business Media Brands About Solutions Technology Careers USA Connecting global brands to captivated audiences Explore solutionsView insights Data diversity Connect billions of data signals that are as diverse as your consumer’s interests. Connected channels Create innovative ways to surprise and delight audiences across content, commerce and utility. Built for brand safety Show up in ways that best represent your brand. Smarter solutions to help you succeed Engage with audiences at any stage of their digital journey with our diverse data mix. Explore solutions More screens, channels & realities Learn about the newest channels for consumer engagement, including digital out-of-home, connected TV and audio. Find out more Insights to plan your next move Premium Integrations Infographic: Considerations for advertising within news Premium Integrations 5 Ways to Prepare for an Uncertain Data Future Branded Content WB Games and Verizon Media slay the competition with the launch of Mortal Kombat 11 About us Our Brands Careers Press Ad specs Office Locations Brand trust Privacy Policy Terms of service About our ads Code of Conduct Business & human rights Do not sell my info Contact us AOL member help Yahoo account help Accessibility Advertise Advertise with us Find the right advertising solutions for your business. Get in touch Join us Spend every day connecting people with the things they love. Search jobs Follow us © 2020 Verizon Media. All Rights Reserved",0.2738095238095238,0.3050595238095238,Positive,Objective
