,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
6546,6676,20200417,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
21376,23923,20200515,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
203779,237197,20200912,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
213622,248609,20200918,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
223543,260042,20200925,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
233706,270995,20201002,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
244559,283343,20201009,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
254777,295213,20201016,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
266177,308323,20201023,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
275259,318968,20201030,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
294945,341844,20201113,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
304144,352583,20201120,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
314307,364042,20201127,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
324530,375493,20201204,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
341884,395253,20201218,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
349584,404532,20201225,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
357016,413660,20210101,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
364513,422786,20210108,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
372473,432244,20210115,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
380134,441480,20210122,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
387739,450692,20210129,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
396203,460797,20210205,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
404714,470929,20210212,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
413527,481148,20210219,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
423322,491778,20210226,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
432542,501593,20210305,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
441963,512110,20210312,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
451274,522244,20210319,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
460145,532719,20210327,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
467397,541640,20210402,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
476397,552364,20210409,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
485474,562847,20210416,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
493971,572954,20210423,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
502598,583311,20210430,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
511216,593722,20210507,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
520016,604240,20210514,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
528807,614657,20210521,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
537715,625292,20210529,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
546496,635689,20210604,vine.co,https://vine.co/v/$1/embed/simple,text/html,text/html,de,Vine,0.0,0.0,Neutral,Objective
