,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
6485,6614,20200417,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
203559,236975,20200911,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
213518,248505,20200918,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
223494,259992,20200925,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
233634,270923,20201002,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
244529,283313,20201009,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
254636,295071,20201016,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
266216,308363,20201023,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
275181,318889,20201030,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
286486,331775,20201106,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
294787,341685,20201113,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!",0.0,0.0,Neutral,Objective
