,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
9156,9446,20200417,westlincoln.niagaraevergreen.ca,https://westlincoln.niagaraevergreen.ca/eg/opac/login,text/html,text/html,en,"Account Login - West Lincoln Public Library Catalog Books Movies & More New Books New Young Adult Books New DVDs Librarian's Picks What to Read Resources Audio and E-Book Downloads Special Collections Programs & Events Reading Readiness Book Clubs Programs and Events Calendar Seasonal Programs Newsletters Art Shows Services & Resources Community Links Computers & Internet Interlibrary Loans Recommended Websites Reference Resources Library Rental Space About Us Accessibility Branches Friends of the Library & Volunteering Employment Opportunities Library Policies Library Board Contact Us Sign In 0 unread messages Account Login Log in to Your Account Please enter the following information: Library Card Number or Username Please include leading zeros. Example: 0026626051 PIN Number or Password If this is your first time logging in, please enter the last 4 digits of your phone number. Example: 0926 Forgot your password? Stay logged in? Additional Resources",0.15135281385281385,0.3418109668109668,Positive,Objective
14191,15007,20200424,westlincoln.niagaraevergreen.ca,https://westlincoln.niagaraevergreen.ca/eg/opac/login,text/html,text/html,en,"Account Login - West Lincoln Public Library Catalog Books Movies & More New Books New Young Adult Books New DVDs Librarian's Picks What to Read Resources Audio and E-Book Downloads Special Collections Programs & Events Reading Readiness Book Clubs Programs and Events Calendar Seasonal Programs Newsletters Art Shows Services & Resources Community Links Computers & Internet Interlibrary Loans Recommended Websites Reference Resources Library Rental Space About Us Accessibility Branches Friends of the Library & Volunteering Employment Opportunities Library Policies Library Board Contact Us Sign In 0 unread messages Account Login Log in to Your Account Please enter the following information: Library Card Number or Username Please include leading zeros. Example: 0026626051 PIN Number or Password If this is your first time logging in, please enter the last 4 digits of your phone number. Example: 0926 Forgot your password? Stay logged in? Additional Resources",0.15135281385281385,0.3418109668109668,Positive,Objective
18281,19937,20200504,westlincoln.niagaraevergreen.ca,https://westlincoln.niagaraevergreen.ca/eg/opac/login,text/html,text/html,en,"Account Login - West Lincoln Public Library Catalog Books Movies & More New Books New Young Adult Books New DVDs Librarian's Picks What to Read Resources Audio and E-Book Downloads Special Collections Programs & Events Reading Readiness Book Clubs Programs and Events Calendar Seasonal Programs Newsletters Art Shows Services & Resources Community Links Computers & Internet Interlibrary Loans Recommended Websites Reference Resources Library Rental Space About Us Accessibility Branches Friends of the Library & Volunteering Employment Opportunities Library Policies Library Board Contact Us Sign In 0 unread messages Account Login Log in to Your Account Please enter the following information: Library Card Number or Username Please include leading zeros. Example: 0026626051 PIN Number or Password If this is your first time logging in, please enter the last 4 digits of your phone number. Example: 0926 Forgot your password? Stay logged in? Additional Resources",0.15135281385281385,0.3418109668109668,Positive,Objective
20795,23271,20200515,westlincoln.niagaraevergreen.ca,https://westlincoln.niagaraevergreen.ca/eg/opac/login,text/html,text/html,en,"Account Login - West Lincoln Public Library Catalog Books Movies & More New Books New Young Adult Books New DVDs Librarian's Picks What to Read Resources Audio and E-Book Downloads Special Collections Programs & Events Reading Readiness Book Clubs Programs and Events Calendar Seasonal Programs Newsletters Art Shows Services & Resources Community Links Computers & Internet Interlibrary Loans Recommended Websites Reference Resources Library Rental Space About Us Accessibility Branches Friends of the Library & Volunteering Employment Opportunities Library Policies Library Board Contact Us Sign In 0 unread messages Account Login Log in to Your Account Please enter the following information: Library Card Number or Username Please include leading zeros. Example: 0026626051 PIN Number or Password If this is your first time logging in, please enter the last 4 digits of your phone number. Example: 0926 Forgot your password? Stay logged in? Additional Resources",0.15135281385281385,0.3418109668109668,Positive,Objective
53844,66033,20200522,westlincoln.niagaraevergreen.ca,https://westlincoln.niagaraevergreen.ca/eg/opac/login,text/html,text/html,en,"Account Login - West Lincoln Public Library Catalog Books Movies & More New Books New Young Adult Books New DVDs Librarian's Picks What to Read Resources Audio and E-Book Downloads Special Collections Programs & Events Reading Readiness Book Clubs Programs and Events Calendar Seasonal Programs Newsletters Art Shows Services & Resources Community Links Computers & Internet Interlibrary Loans Recommended Websites Reference Resources Library Rental Space About Us Accessibility Branches Friends of the Library & Volunteering Employment Opportunities Library Policies Library Board Contact Us Sign In 0 unread messages Account Login Log in to Your Account Please enter the following information: Library Card Number or Username Please include leading zeros. Example: 0026626051 PIN Number or Password If this is your first time logging in, please enter the last 4 digits of your phone number. Example: 0926 Forgot your password? Stay logged in? Additional Resources",0.15135281385281385,0.3418109668109668,Positive,Objective
53847,66043,20200529,westlincoln.niagaraevergreen.ca,https://westlincoln.niagaraevergreen.ca/eg/opac/login,text/html,text/html,en,"Account Login - West Lincoln Public Library Catalog Books Movies & More New Books New Young Adult Books New DVDs Librarian's Picks What to Read Resources Audio and E-Book Downloads Special Collections Programs & Events Reading Readiness Book Clubs Programs and Events Calendar Seasonal Programs Newsletters Art Shows Services & Resources Community Links Computers & Internet Interlibrary Loans Recommended Websites Reference Resources Library Rental Space About Us Accessibility Branches Friends of the Library & Volunteering Employment Opportunities Library Policies Library Board Contact Us Sign In 0 unread messages Account Login Log in to Your Account Please enter the following information: Library Card Number or Username Please include leading zeros. Example: 0026626051 PIN Number or Password If this is your first time logging in, please enter the last 4 digits of your phone number. Example: 0926 Forgot your password? Stay logged in? Additional Resources",0.15135281385281385,0.3418109668109668,Positive,Objective
59674,73919,20200529,westlincoln.niagaraevergreen.ca,https://westlincoln.niagaraevergreen.ca/eg/opac/login,text/html,text/html,en,"Account Login - West Lincoln Public Library Catalog Books Movies & More New Books New Young Adult Books New DVDs Librarian's Picks What to Read Resources Audio and E-Book Downloads Special Collections Programs & Events Reading Readiness Book Clubs Programs and Events Calendar Seasonal Programs Newsletters Art Shows Services & Resources Community Links Computers & Internet Interlibrary Loans Recommended Websites Reference Resources Library Rental Space About Us Accessibility Branches Friends of the Library & Volunteering Employment Opportunities Library Policies Library Board Contact Us Sign In 0 unread messages Account Login Log in to Your Account Please enter the following information: Library Card Number or Username Please include leading zeros. Example: 0026626051 PIN Number or Password If this is your first time logging in, please enter the last 4 digits of your phone number. Example: 0926 Forgot your password? Stay logged in? Additional Resources",0.15135281385281385,0.3418109668109668,Positive,Objective
67919,83354,20200605,westlincoln.niagaraevergreen.ca,https://westlincoln.niagaraevergreen.ca/eg/opac/login,text/html,text/html,en,"Account Login - West Lincoln Public Library Catalog Books Movies & More New Books New Young Adult Books New DVDs Librarian's Picks What to Read Resources Audio and E-Book Downloads Special Collections Programs & Events Reading Readiness Book Clubs Programs and Events Calendar Seasonal Programs Newsletters Art Shows Services & Resources Community Links Computers & Internet Interlibrary Loans Recommended Websites Reference Resources Library Rental Space About Us Accessibility Branches Friends of the Library & Volunteering Employment Opportunities Library Policies Library Board Contact Us Sign In 0 unread messages Account Login Log in to Your Account Please enter the following information: Library Card Number or Username Please include leading zeros. Example: 0026626051 PIN Number or Password If this is your first time logging in, please enter the last 4 digits of your phone number. Example: 0926 Forgot your password? Stay logged in? Additional Resources",0.15135281385281385,0.3418109668109668,Positive,Objective
77069,93632,20200612,westlincoln.niagaraevergreen.ca,https://westlincoln.niagaraevergreen.ca/eg/opac/login,text/html,text/html,en,"Account Login - West Lincoln Public Library Catalog Books Movies & More New Books New Young Adult Books New DVDs Librarian's Picks What to Read Resources Audio and E-Book Downloads Special Collections Programs & Events Reading Readiness Book Clubs Programs and Events Calendar Seasonal Programs Newsletters Art Shows Services & Resources Community Links Computers & Internet Interlibrary Loans Recommended Websites Reference Resources Library Rental Space About Us Accessibility Branches Friends of the Library & Volunteering Employment Opportunities Library Policies Library Board Contact Us Sign In 0 unread messages Account Login Log in to Your Account Please enter the following information: Library Card Number or Username Please include leading zeros. Example: 0026626051 PIN Number or Password If this is your first time logging in, please enter the last 4 digits of your phone number. Example: 0926 Forgot your password? Stay logged in? Additional Resources",0.15135281385281385,0.3418109668109668,Positive,Objective
87597,104863,20200619,westlincoln.niagaraevergreen.ca,https://westlincoln.niagaraevergreen.ca/eg/opac/login,text/html,text/html,en,"Account Login - West Lincoln Public Library Catalog Books Movies & More New Books New Young Adult Books New DVDs Librarian's Picks What to Read Resources Audio and E-Book Downloads Special Collections Programs & Events Reading Readiness Book Clubs Programs and Events Calendar Seasonal Programs Newsletters Art Shows Services & Resources Community Links Computers & Internet Interlibrary Loans Recommended Websites Reference Resources Library Rental Space About Us Accessibility Branches Friends of the Library & Volunteering Employment Opportunities Library Policies Library Board Contact Us Sign In 0 unread messages Account Login Log in to Your Account Please enter the following information: Library Card Number or Username Please include leading zeros. Example: 0026626051 PIN Number or Password If this is your first time logging in, please enter the last 4 digits of your phone number. Example: 0926 Forgot your password? Stay logged in? Additional Resources",0.15135281385281385,0.3418109668109668,Positive,Objective
